Generation	Smiles	Inchi	Energy	Molecular Formula	Monoisotopic Mass	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness
G6	C(C1(C(C(C)CC1O)=O)O)(O)=O	ASJMUMRRGGTJET	56.8783	C7H10O5	174.052825	-1.4116	-0.478	5	3	94.83	1.6045
G6	C1(C(C(C(C=1)=O)(CO)O)O)CO	ZAQZAYJAKMMUIY	55.6404	C7H10O5	174.052825	-2.0932	0.275	5	4	97.99	1.4759
G6	C1(C(CO)(C(C(C1O)=C)O)O)=O	HXJFADDNHZCVIZ	92.2969	C7H10O5	174.052825	-1.9403	5.9605e-8	5	4	97.99	-2.1495
G6	C(C1C(C(C=O)=CC1O)O)(O)=O	PSCKHFISTSRKKL	-31.0499	C7H8O5	172.037175	-1.9754	-0.321	5	3	94.83	-2.0214
G6	C(C1(C(C=CC1O)=O)CO)(O)=O	KWHRUPWJKDSUQC	-29.1732	C7H8O5	172.037175	-1.7281	-0.21	5	3	94.83	-0.05968
G6	C(C1C(CC=CC1O)O)(O)=O	CPGFOTLKQLXRCS	-11.1656	C7H10O4	158.05791	-0.9346	-0.759	4	3	77.76	-0.7975
G6	C(C1(CO)C(CCC1O)O)=O	SKWLMLCHGTXCPS	25.0261	C7H12O4	160.07356	-1.4591	-0.62	4	3	77.76	-3.3923
G6	C(CO)(C1(C(CCC1O)O)O)=O	UGMYUWIWMWWUMP	89.1344	C7H12O5	176.068475	-2.0736	-0.207	5	4	97.99	-0.5055
G6	C1(C(CCC(C1(CO)O)O)O)=O	BKKSMZZSPKDBSD	84.7242	C7H12O5	176.068475	-1.8414	-0.207	5	4	97.99	-1.3218
G6	C(C1C(CCC1(C=O)O)O)(O)=O	ZXCKQSYQTRIMQW	18.2016	C7H10O5	174.052825	-1.8422	-0.534	5	3	94.83	-3.519
G6	C(C1(C(C(CCC1O)O)=O)O)=O	NAOWSOMXUVSRND	78.8611	C7H10O5	174.052825	-2.0537	-0.422	5	3	94.83	-3.5455
G6	C(C1(C(CCC1O)O)O)=O	FHGURLDYFTZYDR	67.3125	C6H10O4	146.05791	-1.6873	-0.5	4	3	77.76	-4.3645
G6	C(C1(C=O)CCC(C1O)O)(O)=O	LLQRQNIHPJISOB	-10.9281	C7H10O5	174.052825	-1.8087	-0.602	5	3	94.83	-6.467
G6	C(C1(CO)C(CCC1O)O)(O)=O	XZCNVXVIBYEMEP	-3.43414	C7H12O5	176.068475	-1.5964	-0.387	5	4	97.99	-0.60122
G6	C1(C2(CCC(C1(CO2)O)O)O)=O	TYMJTAXEXKEEOX	92.3685	C7H10O5	174.052825	-1.606	-0.371	5	3	86.99	-0.70876
G6	C1(C(O)OC2CCC(C12O)O)=O	JHKSWTZBATXQSN	80.6801	C7H10O5	174.052825	-1.5456	-0.502	5	3	86.99	-0.85145
G6	C(C1(C(CCC1O)O)O)(O)=O	ZFZUHZBMTAZOKY	66.1396	C6H10O5	162.052825	-1.8246	-0.267	5	4	97.99	-0.85275
G6	C(C1(C=O)C(CCC1O)O)(O)=O	QNLSSXOKQKPRSM	30.299	C7H10O5	174.052825	-1.8087	-0.602	5	3	94.83	-2.8816
G6	C(C(C1(C(CCC1O)O)O)=O)=O	LEZLSBQBMKUODB	88.5917	C7H10O5	174.052825	-2.2859	-0.422	5	3	94.83	-3.7012
G6	C(C1(C=O)CC(CC1O)O)(O)=O	LQRYZYHOQNEFSI	-22.7863	C7H10O5	174.052825	-1.8087	-0.602	5	3	94.83	-3.7332
G6	C(C1C(CCC1O)O)(O)=O	HZPIEXUFCDYYFZ	-11.9318	C6H10O4	146.05791	-1.0012	-0.717	4	3	77.76	-0.63995
G6	C(C1C(CCCC1O)O)(O)=O	CKTGUAVYRDXXGO	-12.3428	C7H12O4	160.07356	-0.6592	-0.987	4	3	77.76	-2.608
G6	C(C1C(CCC1(C)O)O)(O)=O	ZLAVVSWCWWPTFX	341.253	C7H12O4	160.07356	-0.7032	-0.826	4	3	77.76	1.6448
G6	C(C1(C(CCCC1O)O)O)(O)=O	HTYHCLRULSKUKJ	59.1699	C7H12O5	176.068475	-1.4826	-0.537	5	4	97.99	-2.8129
G6	C(C1(C(CCC1(C)O)O)O)(O)=O	XCTGCQZXLDCPHI	435.215	C7H12O5	176.068475	-1.5266	-0.376	5	4	97.99	1.4864
G6	C(C1(C=O)C(C=CC1O)O)(O)=O	RMVOMPNIRSEXEK	-46.189	C7H8O5	172.037175	-2.0841	-0.374	5	3	94.83	-2.3401
G6	C1C(C(C(C=O)=O)(C(C=1)O)O)O	FQWSPXIOGALXJB	81.8717	C7H8O5	172.037175	-2.5613	-0.194	5	3	94.83	-1.5416
G6	C(C1C(C=CC1O)O)(O)=O	CCGPLQYQSDOTQN	-35.3785	C6H8O4	144.04226	-1.2766	-0.489	4	3	77.76	-0.093953
G6	C(C1C(C=CC1(C)O)O)(O)=O	IPRMIXGILPWZFK	320.797	C7H10O4	158.05791	-0.9786	-0.598	4	3	77.76	2.2505
G6	C(C1(C(CC=CC1O)O)O)(O)=O	KAZVFUHRYVIPSA	65.7633	C7H10O5	174.052825	-1.758	-0.309	5	4	97.99	0.4939
G6	C(C1(C(C=CC1(C)O)O)O)(O)=O	ZTAVVJMOVAGZBF	403.802	C7H10O5	174.052825	-1.802	-0.148	5	4	97.99	3.7018
G6	C(C1(C(C=CC1O)O)O)(O)=O	LJAKGYPSXQDOPU	48.7472	C6H8O5	160.037175	-2.1	-0.039	5	4	97.99	1.3392
G6	C(C(C(CO)O)(C(C)(C)O)O)=O	YPTSUYLVXRFCPG	91.65	C7H14O5	178.084125	-2.0295	-0.016	5	4	97.99	-2.6776
G6	C(C(C(CO)O)(C(CC)O)O)=O	IYSTUJJMJOBHRP	98.6863	C7H14O5	178.084125	-1.9557	-0.177	5	4	97.99	-3.9707
G6	C(C(C(C)O)(C(C)(C)O)O)=O	FXHQIBFJYLRQOE	2117.83	C7H14O4	162.08921	-1.1028	-0.523	4	3	77.76	-4.1446
G6	C(C(C(C)O)(C(CC)O)O)=O	UTKHBMHHFCJXRE	77.0037	C7H14O4	162.08921	-1.029	-0.684	4	3	77.76	-3.7516
G6	C(C(C(C)=O)(C(C)(C)O)O)(O)=O	FTNFOWMTPXICKH	399.178	C7H12O5	176.068475	-1.2713	-0.341	5	3	94.83	-1.5517
G6	C(C(C(C)=O)(C(CC)O)O)(O)=O	WMMGRSKBKDYQMB	65.9963	C7H12O5	176.068475	-1.1975	-0.502	5	3	94.83	-1.4069
G6	C(C)(C(CO)(C(C)(C)O)O)=O	NXBCOGRDMKNBTF	76324.1	C7H14O4	162.08921	-0.9217	-0.359	4	3	77.76	-0.082805
G6	C(C)(C(CO)(C(CC)O)O)=O	KBXLKUQOGDRVBX	86.3009	C7H14O4	162.08921	-0.8479	-0.52	4	3	77.76	-0.09327
G6	C(C(C(C)(C)O)(C(C=O)O)O)=O	LVDXILCZFOZLEM	83.2712	C7H12O5	176.068475	-2.2418	-0.231	5	3	94.83	-2.5855
G6	C(C(C(CC)O)(C(C=O)O)O)=O	DOUBJYGXMFXTKE	102.323	C7H12O5	176.068475	-2.168	-0.392	5	3	94.83	-3.7923
G6	C1(COC(C1(C(C)(C)O)O)O)=O	VMNGCHKDGKCGAH	852.776	C7H12O5	176.068475	-1.2538	-0.147	5	3	86.99	1.2932
G6	C1(C(C(CO1)O)(C(C)(C)O)O)=O	KOVDZPKAZIWOMT	868.97	C7H12O5	176.068475	-1.6132	-0.264	5	3	86.99	-0.72716
G6	C(C(C(CO)O)C(C)(C)O)(O)=O	ZNJQNEGGXYABCY	13.3984	C7H14O5	178.084125	-1.3073	-0.233	5	4	97.99	-0.89097
G6	C1(COC(C1(C(CC)O)O)O)=O	CJGOUTLTNYDYDE	412.755	C7H12O5	176.068475	-1.18	-0.308	5	3	86.99	-0.0071542
G6	C1(C(C(CO1)O)(C(CC)O)O)=O	QZJCTUCPDWGONK	410.511	C7H12O5	176.068475	-1.5394	-0.425	5	3	86.99	-2.1826
G6	C(C(C(CO)O)C(CC)O)(O)=O	IRTDWOJJWIYBGF	-1.72119	C7H14O5	178.084125	-1.2335	-0.394	5	4	97.99	-2.1788
G6	C(C(CO)(C(C)(C)O)O)(O)=O	LZQHYHBVRZVZPR	420.809	C6H12O5	164.068475	-1.5994	0.088	5	4	97.99	0.93468
G6	C(C(CO)(C(CC)O)O)(O)=O	ATXUTGUKPKCQCS	69.5856	C6H12O5	164.068475	-1.5256	-0.073	5	4	97.99	-0.27257
G6	C(C(C(C)O)(C(C(C)O)O)O)=O	LBRRDSKNXDROLE	436.861	C7H14O5	178.084125	-2.0508	-0.285	5	4	97.99	-2.4466
G6	C(C(C(C)O)(C(C=C)O)O)=O	XYOAZIWGHKGSLV	90.0305	C7H12O4	160.07356	-1.2145	-0.623	4	3	77.76	-7.0543
G6	C(C(C(C)O)(C(C)O)O)=O	ORRWGGOEFWALCM	432.402	C6H12O4	148.07356	-1.4834	-0.414	4	3	77.76	-3.005
G6	C(C)(C(C(C)O)(C(C)O)O)=O	UIZPSNUTDQBKCZ	757.449	C7H14O4	162.08921	-0.943	-0.628	4	3	77.76	-0.23551
G6	C(C(C=O)(CCO)C(C)O)(O)=O	IVIHSFKTXRLGTB	-26.0351	C7H12O5	176.068475	-1.2393	-0.408	5	3	94.83	-7.0924
