Generation	Smiles	Inchi	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness	No. Heteroatoms	ESOL	Heteroatoms/Carbons	VDW Volume	H/C	O/C
G6	C(C(C(C(CO)O)=CC=O)O)=O	ISFKPDMFFINGJA	174.05282342	C7H10O5	7	10	5	-2.0993	-0.071	5	3	94.83	-4.1242	5	0.5916756861283506	0.7142857142857143	159.22	1.4285714285714286	0.7142857142857143
G6	C(CO)=C(C(C(CO)O)=O)C=O	OJTYTJPRDLVSFQ	174.05282342	C7H10O5	7	10	5	-1.9182	0.093	5	3	94.83	-1.4515	5	0.5904890078046047	0.7142857142857143	158.15	1.4285714285714286	0.7142857142857143
G6	C(C(C(C(C(CO)=O)O)=C)O)=O	QDDRGSGJGMSHIW	174.05282342	C7H10O5	7	10	5	-1.9466	-0.182	5	3	94.83	-3.7315	5	0.5916756861283502	0.7142857142857143	164.58	1.4285714285714286	0.7142857142857143
G6	C(CO)(C(C(C=CCO)=O)O)=O	BZHWCGIMPUTWJS	174.05282342	C7H10O5	7	10	5	-1.9842	0.003	5	3	94.83	2.1547	5	0.5904890078046049	0.7142857142857143	160.19	1.4285714285714286	0.7142857142857143
G6	C(C(C=C(C)C(C=O)O)O)(O)=O	WPXLNYVYPQTPJD	174.05282342	C7H10O5	7	10	5	-1.3099	-0.345	5	3	94.83	-1.4247	5	-0.0891466801105514	0.7142857142857143	158.63	1.4285714285714286	0.7142857142857143
G6	C(C(C(CC(C(O)=O)O)=C)O)=O	MCMBDFPGXZWHEN	174.05282342	C7H10O5	7	10	5	-1.2432	-0.512	5	3	94.83	-5.2139	5	-0.0856951345445934	0.7142857142857143	161.36	1.4285714285714286	0.7142857142857143
G6	C(C=C(C(C)=O)C(CO)O)(O)=O	NNPXZXDTJAJZNU	174.05282342	C7H10O5	7	10	5	-1.1288	-0.181	5	3	94.83	0.94331	5	-0.0903333584342967	0.7142857142857143	158.82	1.4285714285714286	0.7142857142857143
G6	C(C(CC(C=CCO)=O)O)(O)=O	LKDZZQCZKVUQSS	174.05282342	C7H10O5	7	10	5	-1.2808	-0.327	5	3	94.83	1.0375	5	-0.0868818128683389	0.7142857142857143	164.28	1.4285714285714286	0.7142857142857143
G6	C(CO)=C(C(C(O)=O)=O)CCO	FQMPCYQNJLENAW	174.05282342	C7H10O5	7	10	5	-1.0337	-0.073	5	3	94.83	-8.1655	5	-0.0880684911920842	0.7142857142857143	162.38	1.4285714285714286	0.7142857142857143
G6	C(C(C=CC(C=O)O)CO)(O)=O	BZJKGHLFUGETLO	174.05282342	C7H10O5	7	10	5	-1.6029	-0.273	5	3	94.83	-2.7642	5	0.0199934036639849	0.7142857142857143	160.87	1.4285714285714286	0.7142857142857143
G6	C(C(C(C=O)=CCO)CO)(O)=O	HSRYXFOFZCRVNA	174.05282342	C7H10O5	7	10	5	-1.3558	-0.019	5	3	94.83	-2.2151	5	0.0188067253402392	0.7142857142857143	167.2	1.4285714285714286	0.7142857142857143
G6	C1(C(O)OCC1O)=CC(CO)=O	QBOMVEINCDJLFI	174.05282342	C7H10O5	7	10	5	-1.5511	0.013	5	3	86.99	1.7167	5	0.4633948910082731	0.7142857142857143	156.63	1.4285714285714286	0.7142857142857143
G6	C1(C(C(CC1O)O)O)=CC=O	MKWCZWQWTIWMEB	158.0579088	C7H10O4	7	10	4	-1.3545	-0.557	4	3	77.76	-3.3378	4	0.25840920208934	0.5714285714285714	144.6	1.4285714285714286	0.5714285714285714
G6	C(C(CO)CO)=C(C(O)=O)C=O	YABVEICQVVRADI	174.05282342	C7H10O5	7	10	5	-1.3558	-0.019	5	3	94.83	-3.5673	5	0.0188067253402394	0.7142857142857143	158.57	1.4285714285714286	0.7142857142857143
G6	C(C(C=O)C=C(CO)CO)(O)=O	IVRXGZBFFSPFEQ	174.05282342	C7H10O5	7	10	5	-1.3558	-0.019	5	3	94.83	-4.2201	5	0.0188067253402392	0.7142857142857143	162.12	1.4285714285714286	0.7142857142857143
G6	C(C(C(C(O)=O)=CC(C)O)O)=O	YZYVYOOZMHWSKN	174.05282342	C7H10O5	7	10	5	-1.3099	-0.345	5	3	94.83	-2.2007	5	-0.0891466801105514	0.7142857142857143	157.44	1.4285714285714286	0.7142857142857143
G6	C(C(C=CC(C=O)O)(C)O)(O)=O	VYWXUKLVIYYQJS	174.05282342	C7H10O5	7	10	5	-1.5357	-0.33	5	3	94.83	-0.012891	5	-0.0891466801105516	0.7142857142857143	159.9	1.4285714285714286	0.7142857142857143
G6	C(C(C(C=O)=O)O)=C(CO)CO	TZJLWTPZDYLLLK	174.05282342	C7H10O5	7	10	5	-1.9182	0.093	5	3	94.83	-3.2032	5	0.5904890078046049	0.7142857142857143	162.29	1.4285714285714286	0.7142857142857143
G6	C(C(C(C(CO)=C)=O)CO)(O)=O	WOBFJZLMWMFZAT	174.05282342	C7H10O5	7	10	5	-1.2031	-0.13	5	3	94.83	-5.3306	5	0.0188067253402392	0.7142857142857143	163.74	1.4285714285714286	0.7142857142857143
G6	C(C(CO)=C(C(CO)=O)CO)=O	LLJTYRUOQZQLFP	174.05282342	C7H10O5	7	10	5	-1.6711	0.347	5	3	94.83	-1.2945	5	0.5893023294808596	0.7142857142857143	167.86	1.4285714285714286	0.7142857142857143
G6	C(CO)(CC=C(C(O)=O)CO)=O	BCNGOXBUUHCCHU	174.05282342	C7H10O5	7	10	5	-1.0337	-0.073	5	3	94.83	-1.3745	5	-0.0880684911920842	0.7142857142857143	164.6	1.4285714285714286	0.7142857142857143
G6	C(C(C=CC(CO)=O)CO)(O)=O	AKPQAAQMPXJNHV	174.05282342	C7H10O5	7	10	5	-1.4218	-0.109	5	3	94.83	1.1101	5	0.0188067253402389	0.7142857142857143	165.04	1.4285714285714286	0.7142857142857143
G6	C(C)(C(C=C(C(O)=O)CO)O)=O	WPYNGTAFJITANU	174.05282342	C7H10O5	7	10	5	-1.1288	-0.181	5	3	94.83	1.1476	5	-0.0903333584342969	0.7142857142857143	161.29	1.4285714285714286	0.7142857142857143
G6	C(C=CC(CO)=O)(C(CO)O)=O	HICKWRAOOPCZMW	174.05282342	C7H10O5	7	10	5	-1.9842	0.003	5	3	94.83	1.9165	5	0.5904890078046049	0.7142857142857143	158.49	1.4285714285714286	0.7142857142857143
G6	C(C(C=CC(CC(O)=O)O)O)=O	PVLBECXTLIYMRX	174.05282342	C7H10O5	7	10	5	-1.4619	-0.491	5	3	94.83	-1.3995	5	-0.0856951345445934	0.7142857142857143	160.98	1.4285714285714286	0.7142857142857143
