Generation	Canonical Code
G2	e9e8c5b3d834323b
G2	ea08418141846b4e
G2	eb8ab0693ddde900
G2	ed2339bcdd74dc99
G2	f055db82d1e2373c
G2	f0f706e890577e59
G2	f24138f059e3229d
G2	f432f43f8830b809
G2	f5479c5ac511fe51
G2	f7a5b6ad940d1c8d
G2	fa01e4ed3aeb3a7e
G2	fa4b73bf9e27416
G2	fd30cbd05099e868
G2	ffdc6ee263d2d4b0
G2	ffe1b6d9344ebbde
G3	108239d5ab12cf4f
G3	108ceac281bb0d41
G3	109174a894e92f23
G3	10af12b31573efde
G3	10e1fb69266d65da
G3	10f66eb42f6833a2
G3	11144fa97a9e9dc
G3	1132bb8373457bc4
G3	11416d24a878582
G3	115017dd9ea40e49
G3	1151ee6e0c1e52e4
G3	1160092e67d514ac
G3	117604e61a958d93
G3	1190398f0305aa78
G3	11a0e2d6905cecfa
G3	11bb78a3ce0d2031
G3	11e4f364f52e57af
G3	1259e69fd7fb4694
G3	12609ca901487afb
G3	12745bfd85fca704
G3	12784deb09cae2ed
G3	12a0e347e5ed344a
G3	12de16c77feb31f0
G3	12e203f2d59f34ea
G3	12fc0898e268df04
G3	13262a3408fa5b55
G3	13509505c808e770
G3	136ca1670f2c57e9
G3	13752fbb71f68305
G3	138ce99d1ed7f73d
G3	13b1fcfc1183f288
G3	13ffbdc72d49c7f9
G3	1443afb6d94d39f9
G3	145657d4161d7abf
G3	145ea681f741c30a
G3	1487fdb95256ca6a
G3	14d10acdab634d3
G3	14dafbcacd1f3f8
G3	14dc27f99a7f37d9
G3	14faa555a4b6d5f8
G3	155c801950d1862d
G3	155ec7e95a564b39
G3	155f1f3ea4bcc295
G3	156924eacd8a036b
G3	158d613b652df64
G3	15bbbf115a2949b7
G3	15f9bd790692b450
G3	16116ac7341eef90
G3	161a7debf9b482ff
G3	16381319f9ff709c
G3	16a48620903453a4
G3	16a6afadb71288d8
G3	16f6223d88e8323d
G3	16f79daa1f35a319
G3	174538d192be035d
G3	176bbe22e9b8d418
G3	178f671fde67e21f
G3	17be1d02a040088b
G3	17e00095795c8345
G3	17e5ed2b461307ec
G3	17fc970c794d0dc0
G3	184a514c4b8200ef
G3	1863cc16c202ecfe
G3	186c186caf313d4b
G3	18a2ba83e0528dea
G3	1905ec82808ca867
G3	1930d9029bb1e481
G3	1938150c9dc5283f
G3	1951f7825dcc8436
G3	1958bc12b9d45326
G3	197ec55a831b967b
G3	19a3076858cd3a6a
G3	19c24d8aa4225664
G3	19cf54686af69bad
G3	19fe49e01b2f6886
G3	1a6509a071256f32
G3	1aa47fccd780190d
G3	1acd8d5c83e59127
G3	1b27d6044318d8bf
G3	1b520f40decb60bf
G3	1b5f2041d52af2a3
G3	1bdecedc3a0c6c5
G3	1c2f66c583ae527e
G3	1c79e5dd4b3d5d70
G3	1c8c4f0e03c4b1aa
G3	1cbe17ed480dcd8d
G3	1cdeb634a645f214
G3	1cf4b2799d26a173
G3	1d2afe34e786108f
G3	1d38c2c4d56de7a6
G3	1d68b3e90071b1a6
G3	1d80d583dac04b00
G3	1da72ef3bd4d91a2
G3	1df97a8a249904cd
G3	1e345d2e7c2d36
G3	1e4562c08453a12b
G3	1e4c8ab25a03f052
G3	1e8c790d9fcd3e46
G3	1e9cb41474c1286f
G3	1ed4e72ead71095e
G3	1edbc0d4dac2d486
G3	1eeefb90bc57a021
G3	1f412141eda59e7d
G3	1f60b6b5f50178b
G3	1f62fea3c9e0bffb
G3	1f99854c5d2d2000
G3	1fa2d95d086dd170
G3	1fdcc25881e015c6
G3	1fe4c148a885262
G3	2004e1fadde478d4
G3	200a76a2528b0e35
G3	208e3474cc4919cc
G3	209d295cd5981856
G3	20a4e1e8599bac21
G3	20b6940548f0a581
G3	20c6bc8d84b5a245
G3	214932778fb20b74
G3	216796352819f0b2
G3	21736919587fb0e6
G3	21bbb6defc7739bd
G3	21ce8dab03add94d
G3	2206fe03e5dd4dbb
G3	222b85af881e91d2
G3	2240e44da209c90b
G3	224b633fd6b018f3
G3	226cf75ef91a826e
G3	227856ae9cd2ad72
G3	228623b7eee99515
G3	22acf5f91f78db3a
