Generation	Inchi	Smiles	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness
G4	MQEVONTWFNBWHH	C1C2(CC(C(C2O)(O)O1)O)O	162.05282342	C6H10O5	6	10	5.0	-2.0917	-0.05	5	4	90.15	0.88489
G4	LJXNIEQBYNEYJW	C1C2(CC(C(C2O)O)(O)O1)O	162.05282342	C6H10O5	6	10	5.0	-2.0917	-0.05	5	4	90.15	0.89477
G4	LPTHTPCSRLDPTG	C1(C2C(C(C(C2O)N)O1)O)O	161.068807832	C6H11NO4	6	11	4.0	-2.4578	-0.308	5	4	95.94	0.13304
G4	CEZNNIKMXLLLKF	C1(C2C(C(C(C2N)O)O1)O)O	161.068807832	C6H11NO4	6	11	4.0	-2.4578	-0.308	5	4	95.94	0.15657
G4	ZSTOVYIYRSAZSK	C1(C2C(C(C(C2N)O1)O)O)O	161.068807832	C6H11NO4	6	11	4.0	-2.4578	-0.308	5	4	95.94	-0.62197
G4	KRJMEOLMYNVBJJ	C(C1(CC(CO)(CO1)O)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.16	0.037	5	3	86.99	-6.1083
G4	TZVHWLZLDYVJSV	C1(C(O)OC(CO)(CO)C1)=O	162.05282342	C6H10O5	6	10	5.0	-1.7436	0.07	5	3	86.99	-5.6535
G4	DANRSFFIWBYXJS	C1C(C)(C(C(CO)(O)O1)O)O	164.068473484	C6H12O5	6	12	5.0	-1.8731	0.144	5	4	90.15	1.6958
G4	IIWBMHFOSYOJSW	C1C(CO)(CC(CO)(O)O1)O	164.068473484	C6H12O5	6	12	5.0	-1.9477	0.252	5	4	90.15	-3.1201
G4	OJZWBBOEKYKCJR	C1C(CO)(C(C(C)(O)O1)O)O	164.068473484	C6H12O5	6	12	5.0	-1.8731	0.144	5	4	90.15	1.771
G4	SPLNEWWVRDGZOV	C1C(CO)(CC(O)O1)O	134.0579088	C5H10O4	5	10	4.0	-1.2853	-0.008	4	3	69.92	-2.8996
G4	AGQNMONOGCPJME	C1C(CO)(C(C(O)O1)N)O	149.068807832	C5H11NO4	5	11	4.0	-2.5352	0.315	5	4	95.94	-0.090812
