Generation	Inchi	Smiles
G3	MTPLMYSUTMBRKU	C(CO)(C(CO)N)=O
G3	TXOGIXKACKDTHB	C(CO)(C(C(CO)(C)O)N)=O
G3	BLKWVMZNQNLKQR	C(CN)(C(C(CO)(C)O)O)=O
G3	WQWXZYUDASUZDR	C(CO)(CC(CO)(CN)O)=O
G3	VFWDSQGCHJHDQE	C(C)(C(C(CO)(CN)O)O)=O
G3	CXFDMCGOFSDJFK	C(CO)(C(C(C)O)N)=O
G3	PPFTYFJBDQDNLS	C(CN)(C(C(C)O)O)=O
G3	BCDIGRSIKYETOL	C(CC(CO)(CN)O)=O
G3	BPDJZQNMULGAOC	C(C(CC(C)(C(CO)O)O)=O)=O
G3	PWSOHNXEIARPMG	C(CC(C(C)=O)O)(C(CO)O)=O
G3	GUIKSEWQILZROY	C(C(C)(CC(C(CO)O)=O)O)=O
G3	LWYMQNJMGMCCFO	C(C(CC(CO)(CCO)O)=O)=O
G3	CQANLFJYHMBDIH	C(C(C(C(CCO)=O)O)O)(C)=O
G3	JTSJCBSBAPKSHV	C(C(C)(C(C(CCO)=O)O)O)=O
G3	KNGCZEMXKNYSEB	C(CO)(C(CO)C(C(C)=O)O)=O
G3	VPYMORJLJXJQFS	C(C(C)(C(C(CO)=O)CO)O)=O
G3	LMMRWYGKCKPPMA	C(C(C(CO)=O)C(CO)(C)O)=O
G3	JSXSXEUMAGNLEY	C(CC(C(C(CO)(C)O)O)=O)=O
G3	BXIDKVOKEHHOPM	C(CO)(CC(CC(CO)=O)O)=O
G3	RUNLLBDJYYNYBM	C(CC(CO)(CC(CO)=O)O)=O
G3	OYBUHTPOGNLJMY	C(C)(C(C(CC(CO)=O)O)O)=O
G3	PZLXLRJPTYMEMW	C(CC(CO)(C(C(C)=O)O)O)=O
G3	DCWPTWSYZMWKIL	C(C(C(CO)=O)C(CN)O)=O
G3	VMCCARNNUOIRPT	C(CC(C(C(CN)O)O)=O)=O
G3	VNBYXOQOCGWZFJ	C(C(C(CC(CO)=O)O)N)=O
G3	WKIWQZKYQRMNFP	C(CC(CO)(C(C=O)N)O)=O
G3	ZRMBXIKASCPRFG	C(C(C(CC(CO)(C)O)=O)O)=O
G3	GWUZMTCEZFZAML	C(C(C(C)(CC(CO)=O)O)O)=O
G3	RMFHJNQCSIVIEA	C(C)(C(C(C(C(C)=O)O)O)O)=O
G3	MUNUQZQBUPPELK	C(C(C(C)(C(C(C)=O)O)O)O)=O
G3	ZMEILYOCLSHQDN	C(C(C(CC(CN)O)=O)O)=O
G3	URYGCMBOMHUVKQ	C(C(C(C(C(C)=O)O)O)N)=O
G3	RFTGWPCIEOLYOI	C(C(C(C)(C(C=O)O)O)N)=O
G3	JWVOALOLIWYTMR	C(CO)(C(CO)C(C=O)O)=O
G3	IZYOBKKJVPRWAF	C(C(CO)O)(CCO)=O
G3	KGMAGSYXWBEQJC	C(C(CO)O)(CC(CO)(C)O)=O
G3	FGEPGGGVGFHWCN	C(CO)(CC(C)(C(CO)O)O)=O
G3	MJEDKJVEWJDYHU	C(C)(C(C(C)(C(CO)O)O)O)=O
G3	GFFKZVUFWOOERJ	C(C(CO)O)(CC(C)O)=O
G3	BUQSEVBRGIGBOC	C(CC(C)(C(CO)O)O)=O
G3	RYMHXKSOFRDMFW	C(C(CO)O)(CC(CN)O)=O
G3	PVZYWQDSXQSODU	C(C(C(C)(C(CO)O)O)N)=O
G3	AOWGVLKQEATEAM	C(CO)(C(C(C)O)C(C=O)O)=O
G3	VQYVRVGVXZZBBM	C(CC(C=O)O)(C(C(C)O)O)=O
G3	RZMXAXYXCMZZKG	C(CC(C(CC(CO)=O)O)O)=O
G3	RJZUVQIHALYHDY	C(CC(CO)(CC(C=O)O)O)=O
G3	XZFDOIXMTIDWDO	C(CO)(C(CO)CO)=O
G3	WXYXERHRDKEISL	C(C(CO)O)(C(CO)O)=O
G3	YHKGTFSEJPIKDQ	C(C(CO)O)(C(CO)N)=O
G3	PECKTJPRIPKDII	C(C(C=CC(C(CO)O)=O)O)=O
G3	CXPPRUZKJNBMRP	C(C(C(CO)C(C)(CO)O)=O)=O
G3	YYPVNCVLLSLFEF	C(CC(C(CCO)=O)O)(CO)=O
G3	WMVYVSBRFRLARJ	C(C(CCO)(CC(CO)=O)O)=O
G3	OSRCTLXHJURJSV	C(C(CCO)(C(C(C)=O)O)O)=O
G3	KAYFMIAIBMIIQD	C(C(C(CO)C(CN)O)=O)=O
G3	ODILWJGXAOWKPR	C(C(CCO)(C(C=O)N)O)=O
