Generation	Smiles	Inchi	Energy	Molecular Formula	Monoisotopic Mass	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness
G4	C(C(CO)C(CCO)O)=O	LPRRSVCCPPMUTK	10.8718	C6H12O4	148.07356	-1.4555	-0.249	4	3	77.76	-4.2768
G4	C(C(CO)C(C(C(C)O)O)O)=O	LECRXFXEJNJBEL	46.6222	C7H14O5	178.084125	-2.118	-0.228	5	4	97.99	-3.5355
G4	C(C(CO)C(CC(CO)O)O)=O	UFOQDDSTRWKLAH	53.1153	C7H14O5	178.084125	-2.0229	-0.12	5	4	97.99	-6.8308
G4	C(C(C(CO)O)C(CCO)O)=O	XXMLKQMUFSNKAH	32.7543	C7H14O5	178.084125	-2.0229	-0.12	5	4	97.99	-4.2677
G4	C(C(CO)C(C(CO)=O)O)=O	LSXQZYBPAFVQAM	37.5349	C6H10O5	162.052825	-2.5085	0.099	5	3	94.83	-1.1515
G4	C(C(CO)C(C=O)(CO)O)=O	SAWCGBGWLXQUGF	697.767	C6H10O5	162.052825	-2.6683	0.204	5	3	94.83	-2.7778
G4	C(C(C(C(CCO)O)O)=O)=O	OUJNZICMUOLQGP	78.2117	C6H10O5	162.052825	-2.3675	-0.119	5	3	94.83	-3.4132
G4	C(C(CO)C(C(C)=O)(CO)O)=O	HMSJNCBPHLDAPE	37.1217	C7H12O5	176.068475	-2.1279	-0.01	5	3	94.83	-1.2188
G4	C(C(CO)C(C(CO)=O)(C)O)=O	RGRJSOMDDMYCST	44.3716	C7H12O5	176.068475	-2.1279	-0.01	5	3	94.83	0.13595
G4	C(C(C)=O)(C(C(CCO)O)O)=O	VTDGXLWGZXJZFR	73.0484	C7H12O5	176.068475	-1.8271	-0.333	5	3	94.83	-5.011
G4	C(C(CO)=O)(CC(CCO)O)=O	LLAKZMWYTCOBSF	38.6295	C7H12O5	176.068475	-1.732	-0.225	5	3	94.83	-5.2695
G4	C(C(CO)C(C=O)(C(C)O)O)=O	KMVFEJOXINVCPR	41.6078	C7H12O5	176.068475	-2.309	-0.174	5	3	94.83	-2.8672
G4	C(C(CO)C(C(C(C)O)=O)O)=O	LPYCYPURWRGOQS	36.978	C7H12O5	176.068475	-2.1492	-0.279	5	3	94.83	-3.2061
G4	C(C(CO)C(C)(CO)O)=O	ASGSKBSLHTVURJ	28.9881	C6H12O4	148.07356	-1.5293	-0.088	4	3	77.76	-5.216
G4	C(CO)(CC(CCO)O)=O	SRUUYRSKNDFVMS	20.0495	C6H12O4	148.07356	-1.1334	-0.303	4	3	77.76	-3.4554
G4	C(C)(C(C(CCO)O)O)=O	SOHTZWVCHSEHHZ	40.3825	C6H12O4	148.07356	-1.2285	-0.411	4	3	77.76	-0.76503
G4	C(C(CO)C(CO)(CCO)O)=O	BJORAOSPLKEKMV	958.569	C7H14O5	178.084125	-2.0016	0.149	5	4	97.99	-7.1335
G4	C(C(C(CCO)O)O)(CCO)=O	VFSOSYUWZBDZMY	45.2001	C7H14O5	178.084125	-1.7008	-0.174	5	4	97.99	-1.0637
G4	C(CO)(C(CO)C(CCO)O)=O	KOYHBGZEKAXMBG	33.2105	C7H14O5	178.084125	-1.8418	0.044	5	4	97.99	-0.47074
G4	C(C(CO)C(C(CCO)O)O)=O	HPQAYCDCYZJYTC	24.8631	C7H14O5	178.084125	-2.0229	-0.12	5	4	97.99	-4.3844
G4	C(C(CO)C(C)(C(CO)O)O)=O	ASKHMTIFAYBHKY	29.3337	C7H14O5	178.084125	-2.0967	0.041	5	4	97.99	-0.77395
G4	C(C(CO)O)(CC(CCO)O)=O	QYFMYJGUYDCGMZ	40.4592	C7H14O5	178.084125	-1.7008	-0.174	5	4	97.99	-0.33946
G4	C(C(CO)C(C(O)=O)O)=O	PKKBRFJDUGQOAO	3.36423	C5H8O5	148.037175	-2.2595	0.039	5	3	94.83	-2.0621
G4	C(C(CO)C(CC(O)=O)O)=O	LTMWOWKRNHRFBI	-17.5393	C6H10O5	162.052825	-1.8051	-0.231	5	3	94.83	-1.3711
G4	C(C(C=O)C(CCO)O)(O)=O	VAOSYMFYNXRHKS	-23.0191	C6H10O5	162.052825	-1.8051	-0.231	5	3	94.83	-3.8173
G4	C(C(CO)C(C(O)=O)(C)O)=O	BFZNNUQWZSQLIJ	7.12795	C6H10O5	162.052825	-1.8789	-0.07	5	3	94.83	-0.59762
G4	C(C(CC(CCO)O)=O)(O)=O	GTELMBZFQBCNMT	21.2717	C6H10O5	162.052825	-1.483	-0.285	5	3	94.83	-10.536
G4	C(C(CO)C1(COCC1O)O)=O	UJLYEEDNZNAPDJ	56.699	C7H12O5	176.068475	-2.2532	0.067	5	3	86.99	-5.7472
G4	C1(C(C(CCO)O)OCC1O)=O	FIVSHOBICFVCLT	72.7495	C7H12O5	176.068475	-1.7295	-0.256	5	3	86.99	-0.4945
G4	C(C(CO)C1(C(O)OCC1)O)=O	QJTYLSDHINOXPD	28.6576	C7H12O5	176.068475	-1.7516	-0.146	5	3	86.99	-2.2329
