Generation	Smiles	Inchi	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness
G6	C(C(C1C(C(CC1O)O)O)=O)=O	LXEPBSPLUZYIKY	174.05282342	C7H10O5	7	10	5	-2.3146	-0.473	5	3	94.83	-1.853
G6	C(C1C(C(CC1(C=O)O)O)O)=O	FIGJQDXEZHVUOS	174.05282342	C7H10O5	7	10	5	-2.557	-0.368	5	3	94.83	-3.0256
G6	C(C1C(C(C(C1O)O)O)O)=O	FWWLBYLLLIZJAL	162.05282342	C6H10O5	6	10	5	-2.5681	-0.152	5	4	97.99	-2.9812
G6	C(CO)(C1C(C(CC1O)O)O)=O	VVXDOCTVPWXEKT	176.068473484	C7H12O5	7	12	5	-2.1023	-0.258	5	4	97.99	1.0525
G6	C1(C(C(C(CC(C1)O)O)O)O)=O	APAWFBZPZNDMGP	176.068473484	C7H12O5	7	12	5	-1.7228	-0.476	5	4	97.99	1.7062
G6	C1(C(C(CC(C(C1)O)O)O)O)=O	YIIYTJROCKPNRE	176.068473484	C7H12O5	7	12	5	-1.7228	-0.476	5	4	97.99	1.3194
G6	C(C1C(C(CC1(CO)O)O)O)=O	UCSMSJANAMMOML	176.068473484	C7H12O5	7	12	5	-2.3447	-0.153	5	4	97.99	-5.1382
G6	C(C1C(C(C(C1(C)O)O)O)O)=O	RVLQRYXPGKHGPS	176.068473484	C7H12O5	7	12	5	-2.2701	-0.261	5	4	97.99	-0.57419
G6	C1(CC(C(C1(CCO)O)O)O)=O	KZIUNYFLASTFSQ	176.068473484	C7H12O5	7	12	5	-1.729	-0.207	5	4	97.99	-0.13103
G6	C1(C(C)(C(C(C1CO)O)O)O)=O	HXSQIMVGDFLDRS	176.068473484	C7H12O5	7	12	5	-1.9141	-0.097	5	4	97.99	2.2061
G6	C1(C(C(C(C1)O)(C(C)O)O)O)=O	XULYTAWBUJLECU	176.068473484	C7H12O5	7	12	5	-1.8241	-0.315	5	4	97.99	1.3199
G6	C1(C(C(C(C(C)O)(C1)O)O)O)=O	KHWWRNUNAWFTDQ	176.068473484	C7H12O5	7	12	5	-1.8241	-0.315	5	4	97.99	1.1512
G6	C1(C(C(C(C(C)(C1)O)=O)O)O)=O	DJCMVXGHPQZMMY	174.05282342	C7H10O5	7	10	5	-1.6231	-0.366	5	3	94.83	2.6385
G6	C(C1(CC(C(C1O)=O)(C)O)O)=O	VPRQCVRZWHYXBT	174.05282342	C7H10O5	7	10	5	-2.0977	-0.261	5	3	94.83	-0.9427
G6	C1(CC(C(CC1(CO)O)=O)O)=O	HMFPOJIFLFIDNQ	174.05282342	C7H10O5	7	10	5	-1.6977	-0.258	5	3	94.83	-1.1331
G6	C(C1(CC(C(C1)=O)(CO)O)O)=O	WMYXOTCEXRXZIU	174.05282342	C7H10O5	7	10	5	-2.1723	-0.153	5	3	94.83	-4.9944
