Generation	Smiles	Inchi	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness
G3	C(CC(C=O)O)(C(CO)O)=O	LVYQXQPAYHNLQF	162.05282342	C6H10O5	6	10	5	-2.3675	-0.119	5	3	94.83	-1.9676
G3	C(C(CO)(CC(CO)=O)O)=O	RHBBDYUCVCIMPI	162.05282342	C6H10O5	6	10	5	-2.3462	0.15	5	3	94.83	-5.3266
G3	C(C(C(CCO)=O)(CO)O)=O	XXCROCVPGJNKKK	162.05282342	C6H10O5	6	10	5	-2.3462	0.15	5	3	94.83	-3.3085
G3	C(C(C(C(CO)O)=O)CO)=O	VSCZDXPKQZQUMT	162.05282342	C6H10O5	6	10	5	-2.5085	0.099	5	3	94.83	-2.1903
G3	C(C(CC(CO)=O)O)(O)=O	YVXXPGROVYTBAL	148.037173356	C5H8O5	5	8	5	-1.9374	-0.015	5	3	94.83	-2.2187
G3	C(C(C(CCO)=O)O)(O)=O	GEKHDLNOKHNDDY	148.037173356	C5H8O5	5	8	5	-1.9374	-0.015	5	3	94.83	-1.8864
G3	C(CC(C(CO)O)=O)(O)=O	FNWZJGILAMUKQY	148.037173356	C5H8O5	5	8	5	-1.9374	-0.015	5	3	94.83	-4.2435
G3	C(C(CC(CO)O)=O)(O)=O	UQIGQRSJIKIPKZ	148.037173356	C5H8O5	5	8	5	-1.9374	-0.015	5	3	94.83	-13.301
G3	C(C1C(C(C(O)O1)O)O)O	HMFHBZSHGGEWLO	150.05282342	C5H10O5	5	10	5	-2.1107	0.122	5	4	90.15	-2.9788
G3	C1C(C(C(O)O1)(CO)O)O	BFZQQKBQRCDWST	150.05282342	C5H10O5	5	10	5	-2.1374	0.391	5	4	90.15	-1.7197
G3	C1C(C(C(C(O)O1)O)O)O	SRBFZHDQGSBBOR	150.05282342	C5H10O5	5	10	5	-2.0188	0.122	5	4	90.15	-5.0602
G3	C1(C(C(C(CO)O1)O)O)=O	CUOKHACJLGPRHD	148.037173356	C5H8O5	5	8	5	-2.3264	-0.046	5	3	86.99	-6.6215
G3	C1(C(C(C(CO1)O)O)O)=O	XXBSUZSONOQQGK	148.037173356	C5H8O5	5	8	5	-2.2345	-0.046	5	3	86.99	-8.4355
G4	C1(C(C(C(C1O)O)O)O)=O	RPLBTYVHLJOBKZ	148.037173356	C5H8O5	5	8	5	-2.4068	0.064	5	4	97.99	0.48676
G4	C(C1C(C(C(C1O)O)O)=O)=O	YWMHEJKIEFCJJV	160.037173356	C6H8O5	6	8	5	-2.4244	-0.203	5	3	94.83	-1.8551
G4	C1(C(C(CC(C1O)O)O)O)=O	DNWNZFQXCIWUSQ	162.05282342	C6H10O5	6	10	5	-2.0648	-0.206	5	4	97.99	0.69015
G4	C1(C(C(C(C)(C1O)O)O)O)=O	QCSROUGOTJEQJK	162.05282342	C6H10O5	6	10	5	-2.1088	-0.045	5	4	97.99	2.6872
G4	C1(C(C(C(CO)(C1)O)O)O)=O	UHQNRQMTZAQCBL	162.05282342	C6H10O5	6	10	5	-2.1834	0.063	5	4	97.99	-1.6374
G4	C(C1C(C(C(C1O)=O)CO)O)=O	QIEUDWQTLABOOV	174.05282342	C7H10O5	7	10	5	-2.2297	-0.255	5	3	94.83	-2.1992
G4	C(C1C(C(C=O)C(C1O)O)O)=O	ZSMZKAQLWLFJMO	174.05282342	C7H10O5	7	10	5	-2.5857	-0.419	5	3	94.83	-3.1309
G4	C(C1C(CC(C(C1O)O)=O)O)=O	AUPYDEHKCNYTSW	174.05282342	C7H10O5	7	10	5	-2.0824	-0.473	5	3	94.83	-0.88167
G4	C(C1C(C(C(CC1O)O)O)=O)=O	YRTULFSSNUAODY	174.05282342	C7H10O5	7	10	5	-2.0824	-0.473	5	3	94.83	-1.5595
G4	C1(C(CO)C(C=O)(CC1O)O)=O	LMGIZDHHGOFZPU	174.05282342	C7H10O5	7	10	5	-2.201	-0.204	5	3	94.83	-1.9915
G4	C1(C(C(C(C(C1)O)=O)CO)O)=O	SXWMINGTHUABIK	174.05282342	C7H10O5	7	10	5	-1.7264	-0.309	5	3	94.83	1.4724
G4	C(C1(C(CO)C(C(C1)=O)O)O)=O	TXXBHPYMVGOHPZ	174.05282342	C7H10O5	7	10	5	-2.201	-0.204	5	3	94.83	-2.2413
G4	C(C1C(C(CC1(C=O)O)O)O)=O	FIGJQDXEZHVUOS	174.05282342	C7H10O5	7	10	5	-2.557	-0.368	5	3	94.83	-3.0256
G4	C(C1C(C(CC(C1O)=O)O)O)=O	GMRKEEHCNPHRFK	174.05282342	C7H10O5	7	10	5	-2.0824	-0.473	5	3	94.83	-1.0707
G4	C(C(C1C(C(CC1O)O)O)=O)=O	LXEPBSPLUZYIKY	174.05282342	C7H10O5	7	10	5	-2.3146	-0.473	5	3	94.83	-1.853
G4	C1(C(C(C(C1)O)C(C=O)O)O)=O	IRXAXBQTRSAYJV	174.05282342	C7H10O5	7	10	5	-2.1397	-0.473	5	3	94.83	-0.8959
G4	C(C1(CC(CC(C1O)=O)O)O)=O	ARTFWEBDMQPPEL	174.05282342	C7H10O5	7	10	5	-2.0537	-0.422	5	3	94.83	-1.4176
G4	C(CO)(C1C(CC(C1O)=O)O)=O	FZRWVEDGHRHXTC	174.05282342	C7H10O5	7	10	5	-1.9586	-0.309	5	3	94.83	1.9471
G4	C1(C(C(C(CC(C1)O)=O)O)O)=O	DNSVTLFKOGIDGH	174.05282342	C7H10O5	7	10	5	-1.5791	-0.527	5	3	94.83	1.6226
G4	C(C1C(CO)(CC(C1O)=O)O)=O	XVHPLUHOTOURLI	174.05282342	C7H10O5	7	10	5	-2.201	-0.204	5	3	94.83	-4.1835
G4	C(C1C(C(C(C1(C)O)O)O)=O)=O	WPAPXOCDBQCIPU	174.05282342	C7H10O5	7	10	5	-2.1264	-0.312	5	3	94.83	0.44364
G4	C(C1C(C(C(C)(C1O)O)O)=O)=O	DMLHUZOIIHWSRY	174.05282342	C7H10O5	7	10	5	-2.1264	-0.312	5	3	94.83	0.24133
G4	C(CC1(C(C(C(C1)=O)O)O)O)=O	AEPUFZVZGQIGAD	174.05282342	C7H10O5	7	10	5	-1.9413	-0.422	5	3	94.83	-0.63515
G4	C(C1(CC(C(C(C1)=O)O)O)O)=O	IACPYHVNAFOEMI	174.05282342	C7H10O5	7	10	5	-2.0537	-0.422	5	3	94.83	-1.8764
G4	C1(CC(C(CC(C1O)O)=O)O)=O	ZVWQVMHJCGGFNL	174.05282342	C7H10O5	7	10	5	-1.5791	-0.527	5	3	94.83	1.4703
G4	C1(C(CC(C(C=O)O)(C1)O)O)=O	MTTDGNKGKZLDMW	174.05282342	C7H10O5	7	10	5	-2.111	-0.422	5	3	94.83	-0.70887
G4	C1(C(CC(C1CO)O)O)=O	ABOBCDUIJRUDLU	146.0579088	C6H10O4	6	10	4	-1.36	-0.387	4	3	77.76	0.85549
G4	C(C1C(C(CC1O)O)O)=O	PPSMBMYANALASS	146.0579088	C6H10O4	6	10	4	-1.716	-0.551	4	3	77.76	-2.4416
G4	C1(C(C(CC(C1)O)O)O)=O	CZMTWXOIKCDEOJ	146.0579088	C6H10O4	6	10	4	-1.2127	-0.605	4	3	77.76	1.461
G4	C1(C(C(C(C1)O)O)O)=O	SLBWSONHNKBIMR	132.042258736	C5H8O4	5	8	4	-1.5547	-0.335	4	3	77.76	1.5676
G4	C1(C(C(C(C1CO)O)O)O)=O	LKUVPWZWJWOYKB	162.05282342	C6H10O5	6	10	5	-2.2121	0.012	5	4	97.99	0.4365
G4	C(C1C(C(C(C1O)O)O)O)=O	FWWLBYLLLIZJAL	162.05282342	C6H10O5	6	10	5	-2.5681	-0.152	5	4	97.99	-2.9812
G4	C1(C(C(C(C(C1)O)O)O)O)=O	GZYCZKBRQBKGJW	162.05282342	C6H10O5	6	10	5	-2.0648	-0.206	5	4	97.99	1.6461
G4	C(C1(C(CC(C1O)O)=O)O)=O	BESORNCBPBQUNJ	160.037173356	C6H8O5	6	8	5	-2.3957	-0.152	5	3	94.83	-0.66444
G4	C(C1(C(CC(CC1O)O)=O)O)=O	VMPQVEHWYPATEV	174.05282342	C7H10O5	7	10	5	-2.0537	-0.422	5	3	94.83	-0.48292
G4	C(C1(C(CC(C1(C)O)O)=O)O)=O	LCIIHXCGCVESHD	174.05282342	C7H10O5	7	10	5	-2.0977	-0.261	5	3	94.83	1.5553
G4	C(C1(C(CC(C)(C1O)O)=O)O)=O	KSZUGYGHDUSROW	174.05282342	C7H10O5	7	10	5	-2.0977	-0.261	5	3	94.83	0.80088
G4	C(C)(C1(C(CC(C1O)=O)O)O)=O	MSDMGYIETYMHLU	174.05282342	C7H10O5	7	10	5	-1.8553	-0.366	5	3	94.83	2.369
G4	C(C1(C(C)(CC(C1O)=O)O)O)=O	STPPOUBRBMQYGG	174.05282342	C7H10O5	7	10	5	-2.0977	-0.261	5	3	94.83	0.78667
G4	C1(C(C(C(C1)O)(CO)O)O)=O	PMAODVYIDXXALG	162.05282342	C6H10O5	6	10	5	-2.1834	0.063	5	4	97.99	1.5117
G4	C(C1C(CC(C1(C=O)O)O)O)=O	KYUCBVBJBRGXTD	174.05282342	C7H10O5	7	10	5	-2.557	-0.368	5	3	94.83	-1.9048
G4	C(C1C(C(C=O)(CC1O)O)O)=O	UDDWZBFOJNIHRA	174.05282342	C7H10O5	7	10	5	-2.557	-0.368	5	3	94.83	-2.8874
G4	C(CC1(C(CC(C1O)=O)O)O)=O	QIUPYVIYSDJWEC	174.05282342	C7H10O5	7	10	5	-1.9413	-0.422	5	3	94.83	-0.45103
G4	C(C(C(C)O)C(CCO)O)=O	PYSZIFWAJDKTNW	162.089208928	C7H14O4	7	14	4	-1.0962	-0.627	4	3	77.76	-5.0049
G4	C(C(CO)C(CC(C)O)O)=O	RVQGVBCPLPOHQI	162.089208928	C7H14O4	7	14	4	-1.0962	-0.627	4	3	77.76	-5.5798
G4	C(C(C(C)O)C(C(CO)=O)O)=O	CPUSMWJJBISCJI	176.068473484	C7H12O5	7	12	5	-2.1492	-0.279	5	3	94.83	-2.0815
G4	C(C(C(C)O)C(C=O)(CO)O)=O	FDSHEHPBHWGLQY	176.068473484	C7H12O5	7	12	5	-2.309	-0.174	5	3	94.83	-3.6203
G4	C(C(C(C(CC(C)O)O)O)=O)=O	RLPBKLOISADAAA	176.068473484	C7H12O5	7	12	5	-2.0082	-0.497	5	3	94.83	-4.7044
G4	C(C(C(C)O)C(C)(CO)O)=O	FNSKUBCTEJJSJL	162.089208928	C7H14O4	7	14	4	-1.17	-0.466	4	3	77.76	-6.3816
G4	C(CO)(CC(CC(C)O)O)=O	PQZBLBSEVOBJHW	162.089208928	C7H14O4	7	14	4	-0.7741	-0.681	4	3	77.76	-4.8451
G4	C(C)(C(C(CC(C)O)O)O)=O	UNRKTQDKLHASOU	162.089208928	C7H14O4	7	14	4	-0.8692	-0.789	4	3	77.76	-2.1852
G4	C(C(C(C)O)C(C(O)=O)O)=O	IXOGFMSUHFVHSY	162.05282342	C6H10O5	6	10	5	-1.9002	-0.339	5	3	94.83	-2.8135
