Generation	Smiles	Inchi	Energy Change	Reaction IDs
G3	C1(C(CC(O)OCC1O)O)=O	QTIDAWPRPJXIOG	[-58.699999999999996]	[['1409_0', '246_0', '31_0']]
G3	C1(C(O)OCC(CC1O)O)=O	MEOHGBRMKAWTNN	[-58.699999999999996]	[['1411_0', '248_0', '31_0']]
G3	C1(COC(C(CC1O)O)O)=O	WXTOYSWTFPUPNN	[-58.699999999999996]	[['1413_0', '250_0', '31_0']]
G3	C1(C(CCOC(C1O)O)O)=O	PFCZCTPDOYHDHY	[-58.699999999999996]	[['1415_0', '252_0', '31_0']]
G3	C(CO)(C1(CC(CO1)O)O)=O	NRZIVQMCTYBCJI	[]	[]
G3	C(CO)(C1C(CC(O1)O)O)=O	RTXYHPSDHUSVIE	[]	[]
G3	C(C1C(C(C(C1O)O)O)O)O	VSWOJWCCFGZYAC	[-124.78999999999999]	[['1436_0', '38_0', '25_0']]
G3	C(C(CO)O)O	PEDCQBHIVMGVHV	[]	[]
G3	C(C(C(CC(CO)O)O)O)=O	FRJOXJBNQDZEBI	[-352.9799999999999]	[['1461_0', '1064_0', '71_0', '159_0', '23_0', '39_0', '71_0', '71_0', '23_0', '23_0']]
G3	C(C(C(C(CCO)O)O)O)O	LWWIYCLYWKAKRR	[-73.55]	[['1465_0', '124_0', '25_0']]
G3	C(C1(C(C(CC1O)O)O)O)O	YSCIWCVUALZTQT	[-128.12]	[['1472_0', '152_0', '25_0']]
G3	C(CC1C(C(C(O)O1)O)O)O	WRYOEBBYARWGSI	[-57.730000000000004]	[['1504_0', '226_0', '27_0']]
G3	C(C(CO)O)=CC(CO)=O	JRGCJZUUVRTGIZ	[-58.709999999999994]	[['1506_0', '256_0', '11_0']]
G3	C(CO)=CC(C(CO)O)=O	WTJVBDMTLZBIGT	[-58.709999999999994]	[['1509_0', '260_0', '17_0']]
G3	C=CC(C(C(CO)O)O)=O	VEDHYTPQIAWTBD	[-60.58]	[['1511_0', '262_0', '19_0']]
G3	C(C(C(CO)O)O)=CC=O	FWHVARNGXXGMQK	[-56.709999999999994]	[['1514_0', '266_0', '25_0']]
G3	C(C(C(C=CCO)O)O)=O	WJVUIZPDQGFJAP	[-56.709999999999994]	[['1516_0', '266_0', '25_0']]
G3	C(C1(CC(C(CO)O1)O)O)O	FSOZSKCETOKJSE	[]	[]
G3	C1C(C(C(CCO)(O)O1)O)O	IXNUVUJOIAMJCY	[-61.06]	[['2600_0', '115_0', '13_0']]
G3	C1C(CC(C(CO)O)(O)O1)O	NVSADBZHHBPFAA	[]	[]
G3	CC1(C(C(C(CO)O1)O)O)O	OWUVXYXYMJSAKF	[-65.3]	[['1525_0', '291_0', '23_0']]
G3	C(C(C1C(CC(O)O1)O)O)O	GJVJUCHZHYDRCU	[]	[]
G3	C1C(C(CC(CO)(O)O1)O)O	JEKRTNJYWCVAON	[]	[]
G3	C(C1C(C(CC(O)O1)O)O)O	PMMURAAUARKVCB	[]	[]
G3	C(C(CO)O)(O)=O	RBNPOMFGQQGHHO	[]	[]
G3	C(C(CO)O)=CC(C(O)=O)=O	VLFRVDIMPKLKEE	[-58.709999999999994]	[['1608_0', '256_0', '11_0']]
G3	C(C(C(C=CCO)=O)O)(O)=O	DDBPNMRENRUWPL	[-99.28999999999999]	[['1610_0', '2384_0', '97_0', '19_0']]
G3	C(C=CC(C(CO)O)=O)(O)=O	BMYBOMOLGKNMBZ	[-58.709999999999994]	[['1612_0', '260_0', '17_0']]
G3	C(C(C(C(C=C)=O)O)O)(O)=O	VQUXMAVITTVWDL	[-60.58]	[['1614_0', '262_0', '19_0']]
G3	C(C(C=CC(CO)=O)O)(O)=O	FDUGJRLCNSXSPT	[-99.28999999999999]	[['1616_0', '264_0', '21_0']]
G3	C(C(C(C=CC=O)O)O)(O)=O	MPOXKJPJDPYCBO	[-56.709999999999994]	[['1618_0', '266_0', '25_0']]
G3	C(C(C(C=CC(O)=O)O)O)=O	VAHJEVMRMFYFEN	[-56.709999999999994]	[['1620_0', '266_0', '25_0']]
G3	C1(C(CC(C1(CO)O)O)O)=O	HKXCKZVYORVQST	[-132.6]	[['1638_0', '1346_0', '107_0', '25_0']]
G3	C1C(C(C(C=1)=O)(CO)O)O	NCKMZWFKQTWDTD	[-184.29]	[['1645_0', '260_0', '17_0']]
G3	C(C1(C(C=CC1O)O)O)=O	DAGUNFGFQCYQSP	[-137.3]	[['1647_0', '266_0', '25_0']]
G3	C(C(CO)(C(C(C)=O)O)O)=O	KSPZMTWVXVIPRP	[]	[]
G3	C(C(CO)(C(C=O)(C)O)O)=O	LLKJMSOIEJAFOF	[]	[]
G3	C(C(CO)(C(C=O)O)O)=O	YAVWISVERGTOHY	[]	[]
G3	C(C(CO)(CO)O)=O	OUEKYUKJSLEOIU	[]	[]
G3	C(C(CO)(C(CO)(C)O)O)=O	DWUQTAJMGQSMRJ	[]	[]
G3	C(C(CO)(C(C)O)O)=O	JQKDKERJPQSZLX	[]	[]
G3	C(C)(C(CO)(C(C(C)=O)O)O)=O	QVHLVPFFZOJXII	[-351.6099999999999]	[['1710_0', '1223_0', '2123_0', '186_0', '111_0', '11_0', '39_0', '71_0', '71_0', '23_0', '23_0']]
G3	C(C(C)(C(C(C)=O)(CO)O)O)=O	DMALJGRNDOXCPP	[-346.9699999999999]	[['1712_0', '1223_0', '2123_0', '186_0', '111_0', '11_0', '39_0', '71_0', '71_0', '23_0', '23_0']]
G3	C(C(C(C)=O)(C(CO)(C)O)O)=O	QCAMOOCSJLONRY	[]	[]
G3	C(C)(C(CO)(CO)O)=O	UBXSGWANZATOLV	[]	[]
G3	C(C)(C(CO)(C(CO)(C)O)O)=O	RXFAVOSFWUEUKD	[-356.7299999999999]	[['1762_0', '2123_0', '70_0', '111_0', '21_0', '39_0', '71_0', '71_0', '23_0', '23_0']]
G3	C(C)(C(CO)(C(C)O)O)=O	VGFWQNYTGUGVTP	[-346.9699999999999]	[['1764_0', '2123_0', '1225_0', '111_0', '186_0', '39_0', '11_0', '71_0', '71_0', '23_0', '23_0']]
G3	C(CO)(C(CO)(CO)O)=O	KNWXMEXZFWGIPP	[]	[]
G3	C(C(C(C=CCO)=O)(CO)O)=O	MEAMAPCLLMMUMH	[]	[]
G3	C(C=CC(C(CO)(CO)O)=O)=O	FDRNHHBGRYBJAX	[]	[]
G3	C(C(CO)(C(C(C=C)=O)O)O)=O	ITUYZFAXCHXSFC	[]	[]
G3	C(C(C(C(C=C)=O)(CO)O)O)=O	RPVJECPAFFSKCS	[]	[]
G3	C(C(CO)(C(C=CC=O)O)O)=O	QLBBMBPWYBBMBG	[]	[]
G3	C(C(C(C)O)(C(C(C)=O)O)O)=O	ARLBFAVZOWIULF	[-279.19, -279.19]	[['1862_0', '1013_0', '1225_0', '71_0', '1223_0', '186_0', '23_0', '186_0', '11_0', '11_0'], ['1862_0', '1013_1', '1225_0', '71_0', '1223_0', '186_0', '23_0', '186_0', '11_0', '11_0']]
G3	C(C)(C(C(C)O)(C(C=O)O)O)=O	XNANRWWINILNSI	[-279.19, -279.19]	[['1864_0', '1013_0', '1225_0', '71_0', '1223_0', '186_0', '23_0', '186_0', '11_0', '11_0'], ['1864_0', '1013_1', '1225_0', '71_0', '1223_0', '186_0', '23_0', '186_0', '11_0', '11_0']]
G3	C(C(C=O)(C(CO)(C)O)O)=O	FNDCADSNRZBCGL	[]	[]
G3	C(C(C(C)O)(C(C=O)O)O)=O	NMHIUKCEPXGTRP	[]	[]
G3	C(CO)(C(CO)(C(C)O)O)=O	CLUAZGGJJOMMPW	[-286.3]	[['1882_0', '1225_0', '80_0', '186_0', '39_0', '11_0', '71_0', '71_0', '23_0', '23_0']]
