SMILES tag	Canonical Code
C1=C([C@@](CO[C@@H]1O)(C)O)O[H]	1005f1b329f8c36d
C[C@@H]([C@H]([C@@H](CCCO)O)N([H])[H])O	1005fb01a3146388
C(=O)[C@H](C)O[C@@H]([C@H]([C@H](C)O)O)O[H]	1006043cf1a69f10
C1=C([C@@H](C(=C)[C@H]1O)C(=O)O)N([H])[H]	1006045b5336b28b
C1[C@H](C)O[C@@H]([C@H]([C@]1(C)O)O)N([H])[H]	100618d55bbb0bab
C1[C@@H]2[C@H]([C@@H]([C@H](O2)O)O1)[C@@H](CO)O[H]	10061e97a67c014a
C1[C@@H]2[C@H]([C@@H]([C@H](O2)O)O1)[C@@H](CO[H])O	10061e97a67c014a
C1[C@@H]2[C@H]([C@@H]([C@H](O2)O[H])O1)[C@@H](CO)O	10061e97a67c014a
C1CO[C@@H]([C@H]([C@]1(CN([H])[H])O)O)O	100621440b5975fb
C(=C\[C@H]([C@@H]([C@@H](C(=O)O)O)O)N([H])[H])\C	1006283409e91862
C1=C(C(=O)O)[C@H](C(=O)[C@@H](C1)O)O[H]	10062d643c69c4ab
C1=C(C(=O)O)[C@H](C(=O)[C@@H](C1)O[H])O	10062d643c69c4ab
C1=C(C(=O)O[H])[C@H](C(=O)[C@@H](C1)O)O	10062d643c69c4ab
C=C/C(=C/[C@H]([C@H](C(=O)O)O)O)/O[H]	10062ea065821e51
C(=C\N([H])[H])/[C@@H]1[C@H]([C@H]([C@H](O1)O)O)OC	10063a0f398262a
C=C(CC(=O)O)[C@@H](CC(=O)O)N([H])[H]	1006500fcbb7a81a
C(=C(\[C@@H](C(=O)O)O)/O[H])\C(C)C	10065343d3bc540c
C(=O)([C@H]([C@@H]1COC[C@@H]1O)N([H])[H])O	100656368f40c5d4
C(=O)([C@@H]1[C@H](CO[C@@H]1[C@@H](C)O)N([H])[H])O	10065960da2a4742
C1(=C)[C@H]([C@@H]([C@H]([C@@]1(C)O)O)N([H])[H])O	1006596a43e83a19
C=CC[C@H](CO[C@@H](CO)O[H])O	100663b9ba2918ed
C(=O)[C@H]([C@H]1[C@H](C[C@@H]([C@H]1O)O)O)N([H])[H]	10066761f175dee5
C1[C@@H](CO[C@H]2[C@@H]([C@H]([C@H]1O2)O)O)O[H]	100686fa1f7f647d
C1[C@H]2[C@@H]([C@H]([C@H](OC[C@H]1O)O2)O)O[H]	100686fa1f7f647d
C1[C@H]2[C@@H]([C@H]([C@H](OC[C@H]1O)O2)O[H])O	100686fa1f7f647d
C1=C[C@@](C(=O)N([H])[H])([C@@H](C1=C)O)O	100694de653ecf9a
C[C@H](CC[C@H]([C@H](CO)O)O)O[H]	1006ab19f0d97c7
C[C@H](CC[C@H]([C@H](CO)O)O[H])O	1006ab19f0d97c7
C[C@H](CC[C@H]([C@H](CO)O[H])O)O	1006ab19f0d97c7
C[C@H](CC[C@H]([C@H](CO[H])O)O)O	1006ab19f0d97c7
C1(=C(C[C@H](C1=O)O)[C@H](CO)O)N([H])[H]	1006c74a4ff01493
C(=C(\CO)/[C@@H](C)[C@H](C)O)/O[H]	1006ca1e1fc81cf7
C1(=O)[C@@H](C[C@@H](C[C@@H]1O)CO)N([H])[H]	1006d285d88ef682
C(=C\[C@@](C)([C@@H](C(=O)O)O)N([H])[H])/CO	1006e453762c697f
C(=C(\C)/[C@@](CO)([C@H](CO)O)O)\N([H])[H]	1006fafce3a238a7
C(=O)[C@@H](C[C@@](C(=O)C)(CN([H])[H])O)O	10070c12963f4f35
C(=O)([C@@H]1[C@@H]([C@H](CN([H])[H])O[C@@H]1O)C)O	10071b282db7d1
C1[C@H]2[C@H](CO)O[C@](CO2)([C@H]1O)N([H])[H]	10072469ae97a31c
C1[C@H]([C@]([C@H]([C@H](C)O)O1)(OC)O[H])O	100732c5577444c1
C1(=O)C[C@@H](C[C@H]1O)O[C@H](CO)N([H])[H]	100736c3df76945f
C1O[C@@H]([C@@H]([C@](C)(O1)N([H])[H])O)CCO	10076c4781322aa3
C(=O)C[C@@]1([C@H](CO[C@H]1O)O)N([H])[H]	10077c5e42e49fed
C(=C(\[C@@H](C=O)C)/N([H])[H])/[C@H](CO)O	10079f12ecf28a37
C(=C\N([H])[H])\CO[C@H](C(=O)CO)CO	10079f31d5c98d07
C(=C(\CO)/[C@@H](C)[C@H](CO)O)\N([H])[H]	10079fb538d6c83e
C(=C\O[H])\[C@](C)(CO)OCC(=O)O	10079fd69bd6145b
C1=C([C@](C(=C)[C@@H]1O)(C)O)N([H])[H]	1007a1394acbdaa9
C(=C(\[C@](C=O)(C(=O)O)O)/O[H])\C	1007a95357e75d91
C(=O)[C@]12[C@H]([C@@H](CO2)[C@H]([C@@H]1O)N([H])[H])O	1007da0dd6bb0114
C=C([C@@](C)(C[C@@H](CO)O)O)N([H])[H]	1007e02ef3261944
C(=O)[C@]1(CO[C@H]([C@H]1CCO)N([H])[H])O	1007e385ff2ad8e7
C(=O)[C@](C)([C@@H](CO)OCO[H])O	10081d3f86ea729a
C1(=C)[C@@H]([C@H]([C@H](CCO1)O)O)N([H])[H]	1008396884ea2fb
C1(=O)[C@H]([C@]2(C[C@H]([C@@H]1O2)O)O[H])CO	10083ac308735039
C\1(=C/N([H])[H])/CC[C@@](CO1)(CO)O	10085a76a8cb29ae
C1CO[C@H]([C@H]([C@@H]([C@@H](C)O)O)O1)O[H]	1008759c437dce9f
C1CO[C@H]([C@H]([C@@H]([C@@H](C)O)O[H])O1)O	1008759c437dce9f
C1CO[C@H]([C@H]([C@@H]([C@@H](C)O[H])O)O1)O	1008759c437dce9f
C1[C@@H]([C@@]([C@@](CCO)(O1)O[H])(C)O)O	10087ee02833042e
C1C[C@@H]([C@@H](CO[C@H]([C@@H]1N([H])[H])O)O)O	10089a4e039d24bf
C1(=O)[C@@H](C[C@@H]([C@@H]1O)O)[C@H](OC)O[H]	1008ba6666daabd5
C1[C@H](CO)O[C@H]([C@@]1(CC)N([H])[H])O	1008bbf6dd559ae2
C1[C@H](CO[C@H]1O)[C@H](CCO)O[H]	1008bcbb338ec818
C1[C@H](CO[C@H]1O)[C@H](CCO[H])O	1008bcbb338ec818
C1[C@H](CO[C@H]1O[H])[C@H](CCO)O	1008bcbb338ec818
C1[C@H]([C@@H]([C@](CO1)(OC)O[H])O)O	1008c69a99bc52f1
C1[C@@H](O[C@@H]([C@@]1(C)CN([H])[H])CO)O	1008e53a5e76afeb
C1=C([C@@H]([C@@]2(CO[C@H]([C@H]12)O)O)O)O[H]	100916395439061e
C1=C([C@@](C[C@@H]1N([H])[H])(CO)O)C	10091788900f250d
C1(=O)C[C@H](OC[C@@H]([C@H]1O)O)O[H]	10091918cd68dd00
C1(=O)C[C@H](OC[C@@H]([C@H]1O)O[H])O	10091918cd68dd00
C1(=O)C[C@H](OC[C@@H]([C@H]1O[H])O)O	10091918cd68dd00
C12=C(CO[C@H]2[C@@H](C(=O)[C@H]1O)O)O[H]	100929173313e957
C1[C@@H]([C@@H]([C@]([C@H]1O)(OC)N([H])[H])CO)O	1009454a7ac3ba78
C1CO[C@@]2(C[C@H]([C@H]([C@@H]12)O)O)N([H])[H]	100950a4163b8e88
C(=O)[C@@H](CC(=O)[C@@](C)(CO)N([H])[H])O	1009547d6b6f66ab
C[C@H]([C@](C)(CO)N([H])[H])OCCO	100959c8f6731257
C[C@H](CC(CO)(CO)N([H])[H])CO	10095bfa28b257d7
C(=O)[C@H]1[C@@H]([C@](CO[C@H]1O)(C)O)O[H]	10095c9a78144fb6
C(=O)[C@H]1[C@@H]([C@](CO[C@H]1O)(C)O[H])O	10095c9a78144fb6
C(=O)[C@H]1[C@@H]([C@](CO[C@H]1O[H])(C)O)O	10095c9a78144fb6
C1[C@H]([C@@H]([C@H](CO)O[C@@H]1O)CO)O[H]	100961a121b09346
C1[C@H]([C@@H]([C@H](CO)O[C@@H]1O)CO[H])O	100961a121b09346
C1[C@H]([C@@H]([C@H](CO)O[C@@H]1O[H])CO)O	100961a121b09346
C1[C@H]([C@@H]([C@H](CO[H])O[C@@H]1O)CO)O	100961a121b09346
C=C[C@@H]1[C@@](C=O)([C@@H]([C@H](O1)N([H])[H])O)O	10096a903cdd563f
C1=C(COC[C@@]1(C(=O)CO)O)O[H]	10096cb17a6fbc84
C1[C@H]([C@H]([C@H](O[C@H]1[C@@H](C)O)O)O)O[H]	100977792f608010
C1[C@H]([C@H]([C@H](O[C@H]1[C@@H](C)O)O)O[H])O	100977792f608010
