Generation	Inchi	Smiles	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness
G4	XCOLHFJYVWHMEU	C(C1(CC(C(CO)O1)O)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.1333	-0.232	5	3	86.99	-4.1162
G4	PDWIQYODPROSQH	C(C1C(CC(O)O1)O)O	134.0579088	C5H10O4	5	10	4.0	-1.2586	-0.277	4	3	69.92	-1.34
G4	GJVJUCHZHYDRCU	C(C(C1C(CC(O)O1)O)O)O	164.068473484	C6H12O5	6	12	5.0	-1.826	-0.148	5	4	90.15	-1.154
G4	AGQNMONOGCPJME	C1C(CO)(C(C(O)O1)N)O	149.068807832	C5H11NO4	5	11	4.0	-2.5352	0.315	5	4	95.94	-0.090812
G4	SMXXDFMORMZOIE	C1(C(O)OC(CN)C1CO)=O	161.068807832	C6H11NO4	6	11	4.0	-2.1701	-0.057	5	3	92.78	0.90377
G4	ZRMUCXLFNCETLW	C(C(C1C(CC(O)O1)O)N)=O	161.068807832	C6H11NO4	6	11	4.0	-2.4361	-0.439	5	3	92.78	-2.921
G4	LBBBUGINVNCXHJ	C(C(C1CC(C(O)O1)O)N)=O	161.068807832	C6H11NO4	6	11	4.0	-2.4361	-0.439	5	3	92.78	-2.829
G4	RDZBXCZTPLQKQK	C(C1C(CN)OC(C1O)O)=O	161.068807832	C6H11NO4	6	11	4.0	-2.5261	-0.221	5	3	92.78	-2.3015
G4	SNTPJQALTNHVGS	C(CC1(COC(C1N)O)O)=O	161.068807832	C6H11NO4	6	11	4.0	-2.2931	-0.17	5	3	92.78	-1.4894
G4	RPRJDHMZIQDEPQ	C(C1C(C)(C(C(O1)O)N)O)=O	161.068807832	C6H11NO4	6	11	4.0	-2.4228	-0.278	5	3	92.78	-2.873
G4	ASNHGEVAWNWCRQ	C1C(CO)(C(C(O)O1)O)O	150.05282342	C5H10O5	5	10	5.0	-2.1374	0.391	5	4	90.15	0.040426
G4	LQXVFWRQNMEDEE	C1C(C(C(CO)(O)O1)O)O	150.05282342	C5H10O5	5	10	5.0	-2.1711	0.253	5	4	90.15	-3.5607
G4	ACWSJTQJLUGZDT	C1C(CN)(C(C(O)O1)O)O	149.068807832	C5H11NO4	5	11	4.0	-2.5352	0.315	5	4	95.94	0.26137
G4	MZDPXEAQGDVOPV	C(C1(C(CO)C(CO1)O)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.1887	-0.014	5	3	86.99	-2.2275
G4	CJCDVWPIOFYUOE	C1(C(O)OC(CO)C1CO)=O	162.05282342	C6H10O5	6	10	5.0	-1.7723	0.019	5	3	86.99	0.2819
G4	DLPYFNDTPUTRMF	C(C(C1C(CC(O)O1)O)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.0383	-0.363	5	3	86.99	-3.1375
G4	NMRPPLQOBQIKCK	C(C(C1CC(C(O)O1)O)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.0383	-0.363	5	3	86.99	-3.0518
G4	PYBCSDYNBDGVJP	C(C(C1C(O)OCC1O)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.0937	-0.145	5	3	86.99	-2.557
