Generation	Smiles	Inchi	Energy Change	Reaction IDs
G3	C(C(C)(C(C(CO)=O)CO)O)=O	VPYMORJLJXJQFS	[-64.69]	[['758_0', '57_0', '71_0', '14_0', '22_0']]
G3	C(C(C(CO)=O)C(CO)(C)O)=O	LMMRWYGKCKPPMA	[-123.27000000000001]	[['820_0', '59_0', '77_0', '16_0', '24_0']]
G3	C(CC(C(C(CO)(C)O)O)=O)=O	JSXSXEUMAGNLEY	[-142.82999999999998]	[['822_0', '59_0', '77_0', '16_0', '24_0']]
G3	C(CO)(CC(CC(CO)=O)O)=O	BXIDKVOKEHHOPM	[-130.25]	[['824_0', '59_0', '77_0', '16_0', '24_0']]
G3	C(CC(CO)(CC(CO)=O)O)=O	RUNLLBDJYYNYBM	[-125.60999999999999]	[['826_0', '59_0', '77_0', '16_0', '24_0']]
G3	C(C)(C(C(CC(CO)=O)O)O)=O	OYBUHTPOGNLJMY	[-134.64]	[['828_0', '59_0', '77_0', '16_0', '24_0']]
G3	C(CC(CO)(C(C(C)=O)O)O)=O	PZLXLRJPTYMEMW	[-130.0]	[['830_0', '59_0', '77_0', '16_0', '24_0']]
G3	C(C(C(CO)=O)C(CN)O)=O	DCWPTWSYZMWKIL	[-39.25000000000001]	[['840_0', '59_0', '120_0', '16_0', '5_0']]
G3	C(CC(C(C(CN)O)O)=O)=O	VMCCARNNUOIRPT	[-58.81000000000001]	[['842_0', '59_0', '120_0', '16_0', '5_0']]
G3	C(C(C(CC(CO)=O)O)N)=O	VNBYXOQOCGWZFJ	[-39.25000000000001]	[['844_0', '59_0', '120_0', '16_0', '5_0']]
G3	C(CC(CO)(C(C=O)N)O)=O	WKIWQZKYQRMNFP	[-7.039999999999997]	[['846_0', '59_0', '120_0', '16_0', '5_0']]
G3	C(C(C(CC(CO)(C)O)=O)O)=O	ZRMBXIKASCPRFG	[-186.95]	[['854_0', '61_0', '77_0', '18_0', '24_0']]
