Generation	Smiles	Inchi	Energy Change	Reaction IDs
G3	C(CC(C(C(CO)O)O)=O)=O	RXVDSZVTHMJWNV	[-83.60000000000001]	[['767_0', '94_0', '7_0']]
G3	C(C(C(C(C(C)=O)O)O)O)=O	MKKWPESNDMZCAX	[-75.17]	[['769_0', '96_0', '7_0']]
G3	C(C(C(C)(C(C=O)O)O)O)=O	LTIXNERYDWMFRC	[-70.53]	[['771_0', '96_0', '7_0']]
G3	C(C(C(CC(CO)O)=O)O)=O	QBHBJCPWTMMDIG	[-127.73]	[['773_0', '96_0', '7_0']]
G3	C(C(C(C(CN)O)O)O)=O	IKHXAQXDRKSBCU	[-64.33]	[['785_0', '104_0', '5_0']]
G3	C(C(C(C(C(CO)N)O)O)O)=O	KLXQAXYSOJNJRI	[-41.37]	[['787_0', '106_0', '7_0']]
G3	C(C(CCO)O)(O)=O	UFYGCFHQAXXBCF	[-72.67]	[['792_0', '90_0', '7_0']]
G3	C(C(C(C(CO)O)O)=O)=O	VDSAQEDKJUSZPS	[-60.89]	[['798_0', '78_0', '5_0', '17_0']]
G3	C(CO)(C(CN)O)=O	HVTGQMWTDDUILK	[-36.73]	[['829_0', '31_0', '10_0']]
G3	C(CNCC(C(CO)=O)O)=O	OOPUUCYNBACYQM	[-61.31]	[['835_0', '45_0', '7_0', '10_0']]
G3	C(C(CO)NC(C=O)CO)=O	LZTRLXXHJRINGJ	[-61.04]	[['865_0', '25_0', '39_0', '10_0', '5_0']]
G3	C(C(CN)NC(C=O)CO)=O	FTYYLXDHRJRTKI	[-79.38]	[['871_0', '25_0', '47_0', '10_0', '5_0']]
G3	C(C(CO)NCC(CN)=O)=O	OFIXDAYHKFTXLH	[-88.11]	[['883_0', '25_0', '104_0', '10_0', '5_0']]
G3	C(CNCCO)(C(CN)O)=O	GUGUFYNTHTYQDA	[-104.60000000000001]	[['895_0', '31_0', '57_0', '10_0', '10_0']]
G3	C(CNCC(O)=O)(C(CN)O)=O	IPCYFWLLQPSXFL	[-109.82]	[['897_0', '31_0', '63_0', '10_0', '10_0']]
G3	C(C(CO)NCCO)=O	RJFHOFYTSBPZSK	[-93.76]	[['912_0', '39_0', '57_0', '5_0', '10_0']]
G3	C(C(CO)NCC(O)=O)=O	OYKSMKWNONGCFI	[-98.99]	[['914_0', '39_0', '63_0', '5_0', '10_0']]
G3	C(C(C(CO)O)NCCO)=O	YFTAWOLCSKSJJK	[-77.53]	[['921_0', '41_0', '57_0', '7_0', '10_0']]
G3	C(CO)(C(CO)NCCO)=O	OWXPCTOCSZTUMZ	[-79.53]	[['923_0', '41_0', '57_0', '7_0', '10_0']]
G3	C(C(C(CO)O)NCC(O)=O)=O	LJZWPLNPKGKISC	[-82.75]	[['925_0', '41_0', '63_0', '7_0', '10_0']]
G3	C(CNC(C(CO)=O)CO)(O)=O	QCRUGSPVHVWGIE	[-84.75]	[['927_0', '41_0', '63_0', '7_0', '10_0']]
G3	C(C(CN)NCC(CO)=O)=O	FDOGJZRDUWNYFS	[-88.10999999999999]	[['936_0', '47_0', '47_0', '5_0', '5_0']]
G3	C(C(CN)NCCO)=O	GLICKJMOOWVWEL	[-81.46]	[['944_0', '47_0', '57_0', '5_0', '10_0']]
G3	C(C(CN)NCC(O)=O)=O	WUZCOJVLLCEBKC	[-86.67999999999999]	[['946_0', '47_0', '63_0', '5_0', '10_0']]
G3	C(CNCC(CN)=O)(CO)=O	OATHWGIETBGFOU	[-96.84]	[['956_0', '47_0', '104_0', '5_0', '5_0']]
G3	C(C(CN)NCC(C=O)O)=O	WEZDXDOOFLSVLU	[-86.10999999999999]	[['958_0', '47_0', '104_0', '5_0', '5_0']]
G3	C(CO)(C(CN)NCCO)=O	IZWKPUUGHAWRQG	[-67.23]	[['964_0', '49_0', '57_0', '7_0', '10_0']]
