Generation	Smiles	Inchi	Energy Change	Reaction IDs
G3	C(C(CCO)(CC(CO)=O)O)=O	WMVYVSBRFRLARJ	[-125.6]	[['777_0', '62_0', '70_0', '19_0', '21_0']]
G3	C(C(CCO)(C(C(C)=O)O)O)=O	OSRCTLXHJURJSV	[-129.98999999999998]	[['780_0', '62_0', '70_0', '19_0', '21_0']]
G3	C(C(C(CO)(C)O)O)(CCO)=O	KBVUTNHBGBKSDZ	[-133.01]	[['792_0', '64_0', '70_0', '19_0', '21_0']]
G3	C(CO)(C(CO)C(CO)(C)O)=O	OSJPDGKAMMTTGQ	[-126.28999999999999]	[['794_0', '64_0', '70_0', '19_0', '21_0']]
G3	C(CO)(CC(CO)(CCO)O)=O	PLGOEWNSOOGISL	[-128.62]	[['796_0', '64_0', '70_0', '19_0', '21_0']]
G3	C(C)(C(C(CO)(CCO)O)O)=O	YFVHWIATBOLLAX	[-133.01]	[['798_0', '64_0', '70_0', '19_0', '21_0']]
G3	C(C(C(C)O)O)(CCO)=O	DKJDDXJJYXHLFR	[-74.06]	[['800_0', '64_0', '77_0', '19_0', '25_0']]
G3	C(CO)(C(CO)C(C)O)=O	UCBNXCDBZHMDGF	[-67.34]	[['802_0', '64_0', '77_0', '19_0', '25_0']]
G3	C(CC(CO)(CCO)O)=O	JCOSEBVXWDUOFU	[-65.03]	[['804_0', '64_0', '77_0', '19_0', '25_0']]
G3	C(C(C(C=O)O)O)(CC(C)O)=O	HDSWTILTIGAHJT	[-54.809999999999995]	[['806_0', '66_0', '77_0', '19_0', '25_0']]
G3	C(CC(C(C(C(C)=O)O)O)O)=O	BPNLIVPLQNLIGW	[-54.809999999999995]	[['808_0', '66_0', '77_0', '19_0', '25_0']]
G3	C(CC(C)(C(C(C=O)O)O)O)=O	ZHKXGIAQAXTAMP	[-50.169999999999995]	[['810_0', '66_0', '77_0', '19_0', '25_0']]
G3	C(CO)(CC(CO)(C)O)=O	GRCKFGQFRRODIE	[-194.60999999999999]	[['818_0', '70_0', '70_0', '21_0', '21_0']]
