Generation	Inchi	Smiles
G3	SKHQXBWWPZVTBL	C(CC(C(C(CN)O)O)O)=O
G3	WCLOIEVAMMWGKD	C(CC(C(C(CO)O)N)O)=O
G3	YRBZBJHRIGQRSX	C(C(C(C(CN)=O)O)O)=O
G3	QWVSJAOISGILAV	C(C(C(C(CO)=O)N)O)=O
G3	AJMCRODHPLSBIB	C(C(C(C=O)O)N)(C(CO)O)=O
G3	YJJIGISOUUDFAW	C(CO)(C(C(CO)(CN)O)O)=O
G3	CRISNEGXHCJDRX	C(CN)(C(C(CO)(CO)O)O)=O
G3	RKOMMPNHRBOXSS	C(CO)(C(C(CO)(CO)O)N)=O
G3	AOPNPKRMTASTLC	C(CO)(C(C(C(CN)O)O)O)=O
G3	AGNNHWCBEUMHDN	C(CN)(C(C(CO)(CN)O)O)=O
G3	SIQKLYFCQUAREL	C(CO)(C(C(CO)(CN)O)N)=O
G3	RWAJAMVSHPQTTE	C(CC(C(C(CN)=O)O)O)=O
G3	OEVVJWOUJIUREO	C(CC(C(C(CO)=O)N)O)=O
G3	ZFLFRQNBEVKBDV	C(C(C=O)C(CO)(CN)O)=O
G3	FHYSZSPWXQFGGH	C(C(C)(C(C(CN)=O)O)O)=O
G3	MSKONFCVYLNJPN	C(C(C)(C(C(CO)=O)N)O)=O
G3	SQOIZOFSPPKOGH	C(C)(C(C(C(CN)=O)O)O)=O
G3	QZRMXSVZXCRGAO	C(CO)(C(C(C(C)=O)O)N)=O
G3	OMPVMQXVAIVXEY	C(C(CC(CO)(CN)O)=O)=O
G3	PPFTYFJBDQDNLS	C(CN)(C(C(C)O)O)=O
G3	CXFDMCGOFSDJFK	C(CO)(C(C(C)O)N)=O
G3	BCDIGRSIKYETOL	C(CC(CO)(CN)O)=O
G3	QHZCJOJZOOJVFU	C(CN)(C(C(C(CN)O)O)O)=O
G3	FMTIPXRUFBJTGW	C(CO)(C(C(C(CN)O)O)N)=O
G3	VHAPTBUJKSFOAY	C(C(CO)O)(C(C(C)O)N)=O
G3	LBTUWKWHCNBHBP	C(CC(CN)(C(CO)O)O)=O
G3	VPCLNTDBLHAJNA	C(C(C=O)C(C(CN)O)O)=O
G3	KEZKOUJRKCLMLA	C(C(CC(C(CN)O)O)=O)=O
G3	GRAYIZYZTZDMHO	C(CC(C(CN)O)O)=O
G3	MYNDUSHUEWHKOA	C(CC(C(C(CO)N)O)O)=O
G3	XBBIACPUMILHFE	C(CN)(C(C(C(CO)O)O)O)=O
G3	WENKHRNUXJHGLX	C(CO)(C(C(C(CO)O)O)N)=O
G3	MRRZYOMOIUDFAO	C(C(C(C(C(CN)O)N)O)N)=O
G3	WQGGDNMZQLYAIJ	C(C(C(C(CO)N)O)N)=O
G3	GXAVXHQQZLYQMO	C(C(C(C(C(CN)O)O)O)N)=O
G3	BCHSITVTOAFIPR	C(C(C(C(C(CO)O)N)O)N)=O
G3	ZSXYDPAMQLXZSJ	C(C(C(CO)(CO)O)N)=O
G3	NSKJHRGIUMZEHF	C(CO)(C(C(CN)O)O)=O
