Generation	Inchi	Smiles	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness	No. Heteroatoms	ESOL	Heteroatoms/Carbons
G4	NQIYYKUBXCZNOW	C(C(C(CO)=O)(CO)O)=O	148.037173356	C5H8O5	5	8	5.0	-2.8006	0.42	5	3	94.83	-0.63109	5	1.1717688462725964	1.0
G4	CODPBKJMVNZFKR	C(C(C(CO)O)=O)(O)=O	134.021523292	C4H6O5	4	6	5.0	-2.3918	0.255	5	3	94.83	-7.1315	5	0.873046450564908	1.25
G4	VIJRCMFNOCWJPJ	C(C)(C(C(CO)=O)(CO)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.2602	0.206	5	3	94.83	1.2629	5	0.7896688757413832	0.8333333333333334
G4	YOGXPSGTQNKHLT	C(C)(C(C(CN)=O)(CO)O)=O	161.068807832	C6H11NO4	6	11	4.0	-2.658	0.13	5	3	100.62	0.30535	5	0.8210971831575211	0.8333333333333334
G4	IJIKBAWNFHZICR	C(C(C(CN)=O)(CO)O)=O	147.053157768	C5H9NO4	5	9	4.0	-3.1984	0.344	5	3	100.62	-1.7421	5	1.2031971536887351	1.0
G4	IITRTOMJXOMVFG	C(C)(C(CO)(CO)N)=O	133.073893212	C5H11NO3	5	11	3.0	-2.0594	0.052	4	3	83.55	-6.1244	4	0.6833132440438765	0.8
G4	BZTWFIIQADIYHR	C(C)(C(CO)(CN)O)=O	133.073893212	C5H11NO3	5	11	3.0	-2.0594	0.052	4	3	83.55	0.6965	4	0.6833132440438767	0.8
G4	FZBDPFQWGZJRMP	C(C(CO)(C(C(C)=O)O)N)=O	161.068807832	C6H11NO4	6	11	4.0	-2.8391	-0.034	5	3	100.62	-2.6494	5	0.8222838614812673	0.8333333333333334
G4	FFAUGUPEWYTYFL	C(CO)(C(C)(C(C=O)O)N)=O	161.068807832	C6H11NO4	6	11	4.0	-2.8391	-0.034	5	3	100.62	-1.355	5	0.8222838614812673	0.8333333333333334
G4	SJBUHQRXFGPPFF	C(CO)(C(CO)(CC=O)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.3462	0.15	5	3	94.83	-3.0521	5	0.7931204213073412	0.8333333333333334
G4	LCGBCDAYKOJPSO	C(CO)(C(CO)(C)O)=O	134.0579088	C5H10O4	5	10	4.0	-1.6616	0.128	4	3	77.76	-1.0414	4	0.6518849366277384	0.8
G4	RIMIRAARCJYXAS	C(CO)(C(CO)(CC=O)N)=O	161.068807832	C6H11NO4	6	11	4.0	-2.744	0.074	5	3	100.62	-6.3648	5	0.8245487287234802	0.8333333333333334
G4	CRXIGGPTJCKSNL	C(CO)(C(CO)(C)N)=O	133.073893212	C5H11NO3	5	11	3.0	-2.0594	0.052	4	3	83.55	-4.6175	4	0.6833132440438769	0.8
G4	WYEXXLABJAZYMH	C(C(CO)(CC(CO)=O)N)=O	161.068807832	C6H11NO4	6	11	4.0	-2.744	0.074	5	3	100.62	-7.4528	5	0.82454872872348	0.8333333333333334
G4	QVVPJDROJOZTEY	C1(C(C(CC1(CO)O)O)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.1834	0.063	5	4	97.99	-1.7308	5	1.117369226520491	0.8333333333333334
G4	HWZVJPJFWHMERX	C1(C(CC(C1(CN)O)O)O)=O	161.068807832	C6H11NO4	6	11	4.0	-2.5812	-0.013	5	4	103.78	1.2431	5	1.148797533936629	0.8333333333333334
G4	XJXIVRSPBLVQEK	C1(C(CC(C(C1O)N)O)O)=O	161.068807832	C6H11NO4	6	11	4.0	-2.4626	-0.282	5	4	103.78	1.5104	5	1.1465326666944171	0.8333333333333334
G4	SBRCRISTECRUBK	C1(C(C(C(C1N)O)CO)O)=O	161.068807832	C6H11NO4	6	11	4.0	-2.6099	-0.064	5	4	103.78	-1.5345	5	1.255672750468953	0.8333333333333334
G4	FSEQKVYABDEXQV	C1(C(C(C(CN)C1O)O)O)=O	161.068807832	C6H11NO4	6	11	4.0	-2.6099	-0.064	5	4	103.78	0.20324	5	1.2556727504689529	0.8333333333333334
G4	ZOHAVORAUGWZSO	C(C(C(C(CO)O)=O)(C)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.4413	0.042	5	3	94.83	-2.2893	5	0.7908555540651288	0.8333333333333334
G4	NLZFLSYUZGHIRV	C(C(C)(C(C(C=O)O)O)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.6224	-0.122	5	3	94.83	-2.1861	5	0.7920422323888738	0.8333333333333334
G4	RDCRCZPYRNNHBY	C(C(CO)O)(C(CO)(C)O)=O	164.068473484	C6H12O5	6	12	5.0	-2.229	0.257	5	4	97.99	-2.0342	5	0.9307518009146428	0.8333333333333334
G4	IJDVNWGMHYNWES	C(C(C(C(CO)(C)O)O)O)=O	164.068473484	C6H12O5	6	12	5.0	-2.4101	0.093	5	4	97.99	-4.3738	5	0.9319384792383888	0.8333333333333334
G4	KGXYXIMSHNNPIT	C(C(CC(CO)(CO)O)O)=O	164.068473484	C6H12O5	6	12	5.0	-2.315	0.201	5	4	97.99	-7.9649	5	0.9342033464806008	0.8333333333333334
G4	ZPDKXZPDSLRJGW	C(C(C)O)(C(CO)(CO)O)=O	164.068473484	C6H12O5	6	12	5.0	-2.229	0.257	5	4	97.99	-1.8596	5	0.9307518009146432	0.8333333333333334
G4	NPPXZIWPHGALBH	C(C(C)O)(C(C(CO)=O)N)=O	161.068807832	C6H11NO4	6	11	4.0	-2.6793	-0.139	5	3	100.62	-2.0301	5	0.8222838614812673	0.8333333333333334
G4	PCTWEWSFNHMBBT	C(C(C)(C(C(C=O)O)N)O)=O	161.068807832	C6H11NO4	6	11	4.0	-3.0202	-0.198	5	3	100.62	-3.9875	5	0.8234705398050122	0.8333333333333334
G4	YXVCGHWXQOIPMV	C(C(C(C(CN)O)=O)(C)O)=O	161.068807832	C6H11NO4	6	11	4.0	-2.8391	-0.034	5	3	100.62	-2.2055	5	0.8222838614812673	0.8333333333333334
G4	JCFVRBHISSFDBU	C(C(C(C(C=O)O)N)O)=O	147.053157768	C5H9NO4	5	9	4.0	-3.4008	-0.089	5	3	100.62	-2.1686	5	1.2055705103362258	1.0
G4	YKLUZKKQUOWUTN	C(C(C(C(CN)O)=O)O)=O	147.053157768	C5H9NO4	5	9	4.0	-3.2197	0.075	5	3	100.62	-2.1061	5	1.2043838320124804	1.0
G4	IIHYAXGHFXVCQN	C(C(C(C(CO)(C)O)N)O)=O	163.084457896	C6H13NO4	6	13	4.0	-2.8079	0.017	5	4	103.78	-6.1495	5	0.9633667866545276	0.8333333333333334
G4	KAALDMUVUHKUNO	C(C(CN)O)(C(CO)(C)O)=O	163.084457896	C6H13NO4	6	13	4.0	-2.6268	0.181	5	4	103.78	-1.9636	5	0.962180108330782	0.8333333333333334
G4	XRYLMAPFTROBNJ	C(C(CC(CO)(CN)O)O)=O	163.084457896	C6H13NO4	6	13	4.0	-2.7128	0.125	5	4	103.78	-6.418	5	0.9656316538967392	0.8333333333333334
G4	UCGYPUFNZAYNRO	C(C(C)O)(C(CO)(CN)O)=O	163.084457896	C6H13NO4	6	13	4.0	-2.6268	0.181	5	4	103.78	-0.3415	5	0.9621801083307824	0.8333333333333334
G4	BATBMMKAVJEJIM	C(C(C(C(C)O)N)O)=O	133.073893212	C5H11NO3	5	11	3.0	-2.2618	-0.381	4	3	83.55	-4.7357	4	0.6856866006913673	0.8
G4	HZSOUUXSRHAEDG	C(C(C)O)(C(CN)O)=O	133.073893212	C5H11NO3	5	11	3.0	-2.0807	-0.217	4	3	83.55	-0.68504	4	0.684499922367622	0.8
G4	YSRSNNYPTZYUAF	C(C(CO)O)(CC(C(C)O)=O)=O	176.068473484	C7H12O5	7	12	5.0	-1.8271	-0.333	5	3	94.83	-5.7298	5	0.4122071290998735	0.7142857142857143
G4	FXJGTGCXPONACF	C(C)(C(CC(C(CO)=O)O)O)=O	176.068473484	C7H12O5	7	12	5.0	-1.8271	-0.333	5	3	94.83	2.3793	5	0.4122071290998733	0.7142857142857143
G4	MTGIKPJFHFZKMM	C(C(C)(CC(C(CO)=O)O)O)=O	176.068473484	C7H12O5	7	12	5.0	-1.9869	-0.228	5	3	94.83	-1.6026	5	0.4122071290998735	0.7142857142857143
G4	RHMPGKGZGYYKEJ	C(CCO)(C(C(C(C)O)=O)O)=O	176.068473484	C7H12O5	7	12	5.0	-1.8271	-0.333	5	3	94.83	-2.1182	5	0.4122071290998735	0.7142857142857143
G4	WWWAPRLNLPZANQ	C(C(CCO)O)(C(C(C)=O)O)=O	176.068473484	C7H12O5	7	12	5.0	-1.8271	-0.333	5	3	94.83	-1.4465	5	0.4122071290998735	0.7142857142857143
G4	KBIOEJPZHMZOHI	C(C(C(C(CCO)O)=O)(C)O)=O	176.068473484	C7H12O5	7	12	5.0	-1.9869	-0.228	5	3	94.83	-3.4512	5	0.4122071290998735	0.7142857142857143
G4	CUYCWUJFBMENFQ	C(C(C)O)(C(C(CO)=O)CO)=O	176.068473484	C7H12O5	7	12	5.0	-1.9681	-0.115	5	3	94.83	0.28174	5	0.5178956673084517	0.7142857142857143
G4	ZNYCFZXSBHJYCU	C(C(C(CO)C(C(C)=O)O)O)=O	176.068473484	C7H12O5	7	12	5.0	-2.1492	-0.279	5	3	94.83	-1.9475	5	0.519082345632197	0.7142857142857143
G4	MIIOVCHDFOXZQH	C(C(C)(C(CO)C(C=O)O)O)=O	176.068473484	C7H12O5	7	12	5.0	-2.309	-0.174	5	3	94.83	-3.1448	5	0.519082345632197	0.7142857142857143
G4	VDWUOEBDTTWBQR	C(CC(C(C(CO)(C)O)=O)O)=O	176.068473484	C7H12O5	7	12	5.0	-1.9869	-0.228	5	3	94.83	-3.5034	5	0.4122071290998735	0.7142857142857143
G4	PUEUNWOFGBGIIR	C(C(CO)(CC=O)O)(C(C)O)=O	176.068473484	C7H12O5	7	12	5.0	-1.9869	-0.228	5	3	94.83	-5.042	5	0.4122071290998733	0.7142857142857143
G4	PZZRDZZNGWGVCH	C(C(C(CC(CO)(C)O)O)=O)=O	176.068473484	C7H12O5	7	12	5.0	-1.9869	-0.228	5	3	94.83	-6.5127	5	0.4122071290998735	0.7142857142857143
G4	QFDILBGGPVRPNZ	C(C(CC(C)(C(C=O)O)O)O)=O	176.068473484	C7H12O5	7	12	5.0	-2.168	-0.392	5	3	94.83	-0.76968	5	0.4133938074236188	0.7142857142857143
G4	KLZSHRFYEXZIJN	C(C(C)(C(C=O)O)O)(C(C)O)=O	176.068473484	C7H12O5	7	12	5.0	-2.082	-0.336	5	3	94.83	-1.1451	5	0.4099422618576609	0.7142857142857143
G4	BIXJVDYFZWNGRG	C(C(C(CC(CN)O)O)=O)=O	161.068807832	C6H11NO4	6	11	4.0	-2.7653	-0.195	5	3	100.62	-1.315	5	0.8257354070472246	0.8333333333333334
G4	QGMQORSDHRLSCY	C(C(C(CO)C(C=O)O)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.6896	-0.065	5	3	94.83	-3.2142	5	0.9011823161634096	0.8333333333333334
G4	BFZVHBGRZCLDHL	C(CO)(C(CC(CO)(C)O)O)=O	178.084123548	C7H14O5	7	14	5.0	-1.7746	-0.013	5	4	97.99	-3.3517	5	0.5521033759493875	0.7142857142857143
G4	HFNDNQYIMSMXSR	C(C(CC(C)(C(CO)O)O)O)=O	178.084123548	C7H14O5	7	14	5.0	-1.9557	-0.177	5	4	97.99	-0.95107	5	0.5532900542731333	0.7142857142857143
G4	ZGRJFPAIEXFPTO	C(C(C)O)(C(C)(C(CO)O)O)=O	178.084123548	C7H14O5	7	14	5.0	-1.8697	-0.121	5	4	97.99	0.91508	5	0.5498385087071753	0.7142857142857143
G4	VQDSLLVREOJMLF	C(CO)(C(CC(C)O)O)=O	148.073558864	C6H12O4	6	12	4.0	-1.2285	-0.411	4	3	77.76	-1.3001	4	0.2744231899862284	0.6666666666666666
G4	KOBIWHQJMFPHPE	C(CO)(C(CC(CN)O)O)=O	163.084457896	C6H13NO4	6	13	4.0	-2.553	0.02	5	4	103.78	1.851	5	0.965631653896739	0.8333333333333334
G4	QWLBELLGSUWPPR	C(C(C(C(C)O)C(C=O)O)O)=O	176.068473484	C7H12O5	7	12	5.0	-2.3303	-0.443	5	3	94.83	-3.8084	5	0.5202690239559423	0.7142857142857143
G4	ZSXGUQUOLQRJQP	C(C(CC(C(C(C)O)=O)O)O)=O	176.068473484	C7H12O5	7	12	5.0	-2.0082	-0.497	5	3	94.83	-3.3061	5	0.4133938074236188	0.7142857142857143
