Generation	Smiles	Inchi	Path
G4	C(C(CO)(CC(CC=O)O)O)=O	JOSOCCWADUOCPZ	"C(C(CO)(CC(CC=O)O)O)=O
├── C(C(CO)(CC=O)O)=O
│   ├── C(C(CO)=O)=O
│   │   └── C(C(CO)O)(O)=O
│   │       ├── C(C(C)=O)(O)=O
│   │       └── O
│   └── C(C)=O
│       └── C(C(C)=O)(O)=O
└── C(C)=O
    └── C(C(C)=O)(O)=O
"
G4	C(C(C(C(C)O)O)(CC=O)O)=O	ZJCWVTVBEZYDBK	"C(C(C(C(C)O)O)(CC=O)O)=O
├── C(C(C(C(C)O)O)=O)=O
│   ├── C(C(CO)=O)=O
│   │   └── C(C(CO)O)(O)=O
│   │       ├── C(C(C)=O)(O)=O
│   │       └── O
│   └── C(C)=O
│       └── C(C(C)=O)(O)=O
└── C(C)=O
    └── C(C(C)=O)(O)=O
"
G4	C(C(CCO)(CC=O)O)(O)=O	FWTFAZWTXINKAL	"C(C(CCO)(CC=O)O)(O)=O
├── C(C(CCO)=O)(O)=O
│   ├── C(C(C)=O)(O)=O
│   └── C=O
│       └── C(C(CO)O)(O)=O
│           ├── C(C(C)=O)(O)=O
│           └── O
└── C(C)=O
    └── C(C(C)=O)(O)=O
"
G4	C(CO)(C(C(C)O)(CC=O)O)=O	QSDQDRYSJZZGFY	"C(CO)(C(C(C)O)(CC=O)O)=O
├── C(C(CO)=O)(C(C)O)=O
│   └── C(C(CO)(C(C)O)O)(O)=O
│       ├── C(C(CO)O)(O)=O
│       │   ├── C(C(C)=O)(O)=O
│       │   └── O
│       └── C(C)=O
│           └── C(C(C)=O)(O)=O
└── C(C)=O
    └── C(C(C)=O)(O)=O
"
G4	C(C(CO)(CC=O)O)(C(C)O)=O	PUEUNWOFGBGIIR	"C(C(CO)(CC=O)O)(C(C)O)=O
├── C(C(CO)=O)(C(C)O)=O
│   └── C(C(CO)(C(C)O)O)(O)=O
│       ├── C(C(CO)O)(O)=O
│       │   ├── C(C(C)=O)(O)=O
│       │   └── O
│       └── C(C)=O
│           └── C(C(C)=O)(O)=O
└── C(C)=O
    └── C(C(C)=O)(O)=O
"
G4	C(C(C(C)O)=O)(C(C(C)O)O)=O	MHXSFDSQMMPVDI	"C(C(C(C)O)=O)(C(C(C)O)O)=O
├── C(C(CO)=O)(C(C)O)=O
│   └── C(C(CO)(C(C)O)O)(O)=O
│       ├── C(C(CO)O)(O)=O
│       │   ├── C(C(C)=O)(O)=O
│       │   └── O
│       └── C(C)=O
│           └── C(C(C)=O)(O)=O
└── C(C)=O
    └── C(C(C)=O)(O)=O
"
G4	C(CC(CO)(CO)O)=O	RLJYTLNHFAJLAE	"C(CC(CO)(CO)O)=O
├── C(C)=O
│   └── C(C(C)=O)(O)=O
└── C(CO)(CO)=O
    ├── C(C(CO)=O)=O
    │   └── C(C(CO)O)(O)=O
    │       ├── C(C(C)=O)(O)=O
    │       └── O
    ├── C=O
    │   └── C(C(CO)O)(O)=O
    │       ├── C(C(C)=O)(O)=O
    │       └── O
    └── O
"
G4	C(CO)(C(C(C)O)O)=O	MRKRITSFTIHTAQ	"C(CO)(C(C(C)O)O)=O
├── C(C)=O
│   └── C(C(C)=O)(O)=O
└── C(CO)(CO)=O
    ├── C(C(CO)=O)=O
    │   └── C(C(CO)O)(O)=O
    │       ├── C(C(C)=O)(O)=O
    │       └── O
    ├── C=O
    │   └── C(C(CO)O)(O)=O
    │       ├── C(C(C)=O)(O)=O
    │       └── O
    └── O
"
G4	C(C(CO)(CC=O)O)(O)=O	HJUVFMUQYBJUTI	"C(C(CO)(CC=O)O)(O)=O
├── C(C(CO)=O)(O)=O
│   ├── C(C(CO)=O)=O
│   │   └── C(C(CO)O)(O)=O
│   │       ├── C(C(C)=O)(O)=O
│   │       └── O
│   ├── C=O
│   │   └── C(C(CO)O)(O)=O
│   │       ├── C(C(C)=O)(O)=O
│   │       └── O
│   └── O
└── C(C)=O
    └── C(C(C)=O)(O)=O
"
G4	C(C(C(C(C)O)O)=O)(O)=O	AQECHFBKXAXPCW	"C(C(C(C(C)O)O)=O)(O)=O
├── C(C(CO)=O)(O)=O
│   ├── C(C(CO)=O)=O
│   │   └── C(C(CO)O)(O)=O
│   │       ├── C(C(C)=O)(O)=O
│   │       └── O
│   ├── C=O
│   │   └── C(C(CO)O)(O)=O
│   │       ├── C(C(C)=O)(O)=O
│   │       └── O
│   └── O
└── C(C)=O
    └── C(C(C)=O)(O)=O
"
G4	C(C(C)(C(CC=O)O)O)(O)=O	LNKOAMWTAGISQQ	"C(C(C)(C(CC=O)O)O)(O)=O
├── C(C(C=O)(C)O)(O)=O
│   └── C(C(C)(C(C(C(O)=O)O)O)O)(O)=O
│       ├── C(C(C)(CC(C(O)=O)=O)O)(O)=O
│       │   ├── C(C(C)=O)(O)=O
│       │   └── C(C(C)=O)(O)=O
│       └── O
└── C(C)=O
    └── C(C(C)=O)(O)=O
"
G4	C(CC(C(C(O)=O)O)O)=O	WNQQMTOQQGYXCH	"C(CC(C(C(O)=O)O)O)=O
├── C(C(C=O)O)(O)=O
│   └── C(C(C)(C(C(C(O)=O)O)O)O)(O)=O
│       ├── C(C(C)(CC(C(O)=O)=O)O)(O)=O
│       │   ├── C(C(C)=O)(O)=O
│       │   └── C(C(C)=O)(O)=O
│       └── O
└── C(C)=O
    └── C(C(C)=O)(O)=O
"
G4	C(C(CO)C(C)(CC=O)O)(O)=O	WXIPGANFELPGDO	"C(C(CO)C(C)(CC=O)O)(O)=O
├── C(C(C(C)=O)CO)(O)=O
│   └── C(C(CO)(C(C)O)O)(O)=O
│       ├── C(C(CO)O)(O)=O
│       │   ├── C(C(C)=O)(O)=O
│       │   └── O
│       └── C(C)=O
│           └── C(C(C)=O)(O)=O
└── C(C)=O
    └── C(C(C)=O)(O)=O
"
G4	C(C(C(CC(C)O)=O)CO)(O)=O	VGWFDCYHAOVYIA	"C(C(C(CC(C)O)=O)CO)(O)=O
├── C(C(C(C)=O)CO)(O)=O
│   └── C(C(CO)(C(C)O)O)(O)=O
│       ├── C(C(CO)O)(O)=O
│       │   ├── C(C(C)=O)(O)=O
│       │   └── O
│       └── C(C)=O
│           └── C(C(C)=O)(O)=O
└── C(C)=O
    └── C(C(C)=O)(O)=O
"
G4	C(C(C(CO)=O)O)(O)=O	SCSGVVIUUUPOOJ	"C(C(C(CO)=O)O)(O)=O
├── C(=O)=O
│   └── C(C(C)=O)(O)=O
└── C(CO)(CO)=O
    ├── C(C(CO)=O)=O
    │   └── C(C(CO)O)(O)=O
    │       ├── C(C(C)=O)(O)=O
    │       └── O
    ├── C=O
    │   └── C(C(CO)O)(O)=O
    │       ├── C(C(C)=O)(O)=O
    │       └── O
    └── O
"
G4	C(C(C(C)O)C(CCO)O)=O	PYSZIFWAJDKTNW	"C(C(C(C)O)C(CCO)O)=O
├── C(CC(C)O)=O
│   ├── C(C)=O
│   │   └── C(C(C)=O)(O)=O
│   └── C(C)=O
│       └── C(C(C)=O)(O)=O
└── C(CCO)=O
    ├── C(C)=O
    │   └── C(C(C)=O)(O)=O
    └── C=O
        └── C(C(CO)O)(O)=O
            ├── C(C(C)=O)(O)=O
            └── O
"
G4	C(C(CO)C(CC(C)O)O)=O	RVQGVBCPLPOHQI	"C(C(CO)C(CC(C)O)O)=O
├── C(CC(C)O)=O
│   ├── C(C)=O
│   │   └── C(C(C)=O)(O)=O
│   └── C(C)=O
│       └── C(C(C)=O)(O)=O
└── C(CCO)=O
    ├── C(C)=O
    │   └── C(C(C)=O)(O)=O
    └── C=O
        └── C(C(CO)O)(O)=O
            ├── C(C(C)=O)(O)=O
            └── O
"
G4	C(C(C(C(C=O)O)O)C(C)O)=O	NMHUEPOFCSNPNG	"C(C(C(C(C=O)O)O)C(C)O)=O
├── C(C(C=O)O)=O
│   └── C(C(CO)=O)=O
│       └── C(C(CO)O)(O)=O
│           ├── C(C(C)=O)(O)=O
│           └── O
└── C(CC(C)O)=O
    ├── C(C)=O
    │   └── C(C(C)=O)(O)=O
    └── C(C)=O
        └── C(C(C)=O)(O)=O
"
