Generation	Smiles	Inchi	Path
G2	C(C)(C(C(C(CO)O)O)O)=O	IXDZFGATLNCIOI	"C(C)(C(C(C(CO)O)O)O)=O
├── C(C(C(C(C(C)=O)O)O)O)=O
│   └── C(C(C(C(C(CO)O)O)O)O)=O
├── C(C(C(C(C(CO)O)O)O)O)=O
└── O
"
G2	C(CC(C(C(CO)O)O)O)=O	VRYALKFFQXWPIH	"C(CC(C(C(CO)O)O)O)=O
├── C(C(C(C(C(CO)O)O)O)O)=O
├── C(CC(C(C(C=O)O)O)O)=O
│   └── C(C(C(C(C(CO)O)O)O)O)=O
└── O
"
G2	C(C(C(C(CCO)O)O)O)=O	QITFYRWXWLBOON	"C(C(C(C(CCO)O)O)O)=O
├── C(C(C(C(C(CO)O)O)O)O)=O
├── C(CC(C(C(C=O)O)O)O)=O
│   └── C(C(C(C(C(CO)O)O)O)O)=O
└── O
"
G2	C(C(C(C(C(CO)O)N)O)O)O	UFVAKBOWVFHGBO	"C(C(C(C(C(CO)O)N)O)O)O
├── C(C(C(C(C(CO)O)O)N)O)=O
│   ├── C(C(C(C(C(CO)O)O)O)O)=O
│   └── N
├── C(C(C(C(C(CO)O)O)O)O)=O
└── O
"
G2	C(C(C(CO)O)O)(O)=O	JPIJQSOTBSSVTP	"C(C(C(CO)O)O)(O)=O
├── C(C(C(C(C(CO)O)O)O)O)=O
├── C(C(C(CO)O)O)=O
│   └── C(C(C(C(C(CO)O)O)O)O)=O
└── O
"
G2	C1(CC(C(C1(CO)O)O)O)=O	OOMLFVGHKQXLAI	"C1(CC(C(C1(CO)O)O)O)=O
└── C(CC(C=O)O)(C(CO)O)=O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
G2	C(C1(C(C(CC1O)O)O)O)=O	KTMZJGYSSGDOQI	"C(C1(C(C(CC1O)O)O)O)=O
└── C(CC(C(C(C=O)O)O)O)=O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
G2	C(CC(C(C(CO)O)N)=O)=O	LNCPBFQXTAGTEN	"C(CC(C(C(CO)O)N)=O)=O
├── C(CC(C(C(CO)O)O)=O)=O
│   └── C(C(C(C(C(CO)O)O)O)O)=O
└── N
"
G2	C(C(C(CC(CO)O)=O)N)=O	AEIDOSPMECBBFD	"C(C(C(CC(CO)O)=O)N)=O
├── C(C(C(CC(CO)O)=O)O)=O
│   └── C(C(C(C(C(CO)O)O)O)O)=O
└── N
"
G2	C(CC(C=O)O)(C(CO)N)=O	AHIYIUNMGXQPLE	"C(CC(C=O)O)(C(CO)N)=O
├── C(CC(C=O)O)(C(CO)O)=O
│   └── C(C(C(C(C(CO)O)O)O)O)=O
└── N
"
