Generation	Smiles	Inchi	Energy	Molecular Formula	Monoisotopic Mass	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness
G5	C1(C2C(CC(C1(CO2)O)O)O)=O	HNRBFVOADKTMCR	111.836	C7H10O5	174.052825	-2.0472	-0.289	5	3	86.99	1.6685
G5	C1(CC(C(CO)(C1(C)O)O)O)=O	UKRIEYUIYMDLHW	439.872	C7H12O5	176.068475	-1.8854	-0.046	5	4	97.99	2.9963
G5	C1(CC(C(CO)(C(C1)O)O)O)=O	FNAWOGIGZGLHTR	91.1884	C7H12O5	176.068475	-1.8414	-0.207	5	4	97.99	1.0328
G5	C1(C2C(C)(C(C1(CO2)O)O)O)=O	WBKDKOXUPHAIKT	139.794	C7H10O5	174.052825	-2.0912	-0.128	5	3	86.99	2.9533
G5	C1(C(C2(COCC2(C1)O)O)O)=O	LYWYDAUECKXTPC	108.91	C7H10O5	174.052825	-2.0739	-0.02	5	3	86.99	-0.052319
G5	C1(C2C(C(C)(C1(CO2)O)O)O)=O	IJEVAYGLXFGEAW	484.785	C7H10O5	174.052825	-2.0912	-0.128	5	3	86.99	3.2672
G5	C(C1(C(CC(CC1O)O)=O)O)=O	VMPQVEHWYPATEV	461.881	C7H10O5	174.052825	-2.0537	-0.422	5	3	94.83	-0.48292
G5	C1(C2C(C(C1(CO2)O)O)O)=O	OFDLJUYUBAWDCQ	130.944	C6H8O5	160.037175	-2.3892	-0.019	5	3	86.99	1.1414
G5	C1(C2C(CO)(C(CO2)(C1)O)O)=O	DRHLBGJBKSFQPF	224.483	C7H10O5	174.052825	-2.1658	-0.02	5	3	86.99	1.713
G5	C1(CC2(C(C1(CO)OC2)O)O)=O	CFMHNFVJYYYPPA	511.155	C7H10O5	174.052825	-2.1658	-0.02	5	3	86.99	1.6773
G5	C1(C2C(CC(C1(CO)O)O2)O)=O	ZVPUJIWFKVWARJ	520.551	C7H10O5	174.052825	-2.1391	-0.289	5	3	86.99	0.39061
G5	C1(C(C)(C(C=O)(C(C1)O)O)O)=O	KMADFOAKFRABKF	420.003	C7H10O5	174.052825	-2.0977	-0.261	5	3	94.83	0.93
G5	C(C1(C(CC(CC1O)=O)O)O)=O	GMHODGPIGKGXTC	65.5127	C7H10O5	174.052825	-2.0537	-0.422	5	3	94.83	-1.0423
