Generation	Smiles	Inchi	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness	No. Heteroatoms	ESOL
G3	C(C(C(C)(C(C(C)=O)O)O)O)=O	MUNUQZQBUPPELK	176.068473484	C7H12O5	7	12	5	-2.082	-0.336	5	3	94.83	0.17196	5	0.4099422618576609
G3	C(CO)(C(CO)C(C=O)O)=O	JWVOALOLIWYTMR	162.05282342	C6H10O5	6	10	5	-2.5085	0.099	5	3	94.83	-1.5023	5	0.8999956378396644
G3	C(C(CO)O)(CCO)=O	IZYOBKKJVPRWAF	134.0579088	C5H10O4	5	10	4	-1.5878	-0.033	4	3	77.76	-1.3983	4	0.6553364821936963
G3	C(C(CO)O)(CC(CO)(C)O)=O	KGMAGSYXWBEQJC	178.084123548	C7H14O5	7	14	5	-1.7746	-0.013	5	4	97.99	-4.3711	5	0.5521033759493875
G3	C(CO)(CC(C)(C(CO)O)O)=O	FGEPGGGVGFHWCN	178.084123548	C7H14O5	7	14	5	-1.7746	-0.013	5	4	97.99	0.19339	5	0.5521033759493875
G3	C(C)(C(C(C)(C(CO)O)O)O)=O	MJEDKJVEWJDYHU	178.084123548	C7H14O5	7	14	5	-1.8697	-0.121	5	4	97.99	2.2585	5	0.5498385087071751
G3	C(C(CO)O)(CC(C)O)=O	GFFKZVUFWOOERJ	148.073558864	C6H12O4	6	12	4	-1.2285	-0.411	4	3	77.76	-2.4341	4	0.2744231899862284
G3	C(CC(C)(C(CO)O)O)=O	BUQSEVBRGIGBOC	148.073558864	C6H12O4	6	12	4	-1.3883	-0.306	4	3	77.76	0.010489	4	0.2744231899862284
G3	C(CO)(C(C(C)O)C(C=O)O)=O	AOWGVLKQEATEAM	176.068473484	C7H12O5	7	12	5	-2.1492	-0.279	5	3	94.83	-2.3145	5	0.519082345632197
G3	C(CC(C=O)O)(C(C(C)O)O)=O	VQYVRVGVXZZBBM	176.068473484	C7H12O5	7	12	5	-2.0082	-0.497	5	3	94.83	-2.3026	5	0.41339380742361886
G3	C(CC(C(CC(CO)=O)O)O)=O	RZMXAXYXCMZZKG	176.068473484	C7H12O5	7	12	5	-1.9131	-0.389	5	3	94.83	-3.7273	5	0.41565867466583134
G3	C(CC(CO)(CC(C=O)O)O)=O	RJZUVQIHALYHDY	176.068473484	C7H12O5	7	12	5	-2.0729	-0.284	5	3	94.83	-6.5149	5	0.41565867466583156
G3	C(CO)(C(CO)CO)=O	XZFDOIXMTIDWDO	134.0579088	C5H10O4	5	10	4	-1.7288	0.185	4	3	77.76	-0.82814	4	0.7610250204022745
